idx,type,xmin,xmax,ymin,ymax,dx,dy
0,LINE,2161.021012376361,2161.021012376361,2062.066709336857,2072.066709336857,0.0,10.0
1,LINE,2101.021012376361,2161.021012376361,2072.066709336857,2072.066709336857,60.0,0.0
2,LINE,2101.021012376361,2101.021012376361,2062.066709336857,2072.066709336857,0.0,10.0
3,LINE,2101.021012376361,2161.021012376361,2062.066709336857,2062.066709336857,60.0,0.0
4,LINE,2071.021012376361,2101.021012376361,2070.066709336857,2072.066709336857,30.0,2.0
5,LINE,2071.021012376361,2071.021012376361,2064.066709336857,2070.066709336857,0.0,6.0
6,LINE,2071.021012376361,2101.021012376361,2062.066709336857,2064.066709336857,30.0,2.0
7,LINE,2068.021012376361,2071.021012376361,2070.066709336857,2070.066709336857,3.0,0.0
8,LINE,2068.021012376361,2068.021012376361,2064.066709336857,2070.066709336857,0.0,6.0
9,LINE,2068.021012376361,2071.021012376361,2064.066709336857,2064.066709336857,3.0,0.0
10,LINE,2063.021012376361,2068.021012376361,2070.066709336857,2070.066709336857,5.0,0.0
11,LINE,2063.021012376361,2063.021012376361,2064.066709336857,2070.066709336857,0.0,6.0
12,LINE,2063.021012376361,2068.021012376361,2064.066709336857,2064.066709336857,5.0,0.0
13,LINE,2062.521012376361,2063.021012376361,2070.066709336857,2070.066709336857,0.5,0.0
14,LINE,2062.021012376361,2062.021012376361,2064.566709336857,2069.566709336857,0.0,5.0
15,LINE,2062.521012376361,2063.021012376361,2064.066709336857,2064.066709336857,0.5,0.0
16,LINE,2052.521012376361,2061.521012376361,2070.066709336857,2070.066709336857,9.0,0.0
17,LINE,2052.021012376361,2052.021012376361,2064.566709336857,2069.566709336857,0.0,5.0
18,LINE,2052.521012376361,2061.521012376361,2064.066709336857,2064.066709336857,9.0,0.0
19,CIRCLE,2053.021012376361,2055.021012376361,2067.566709336857,2069.566709336857,2.0,2.0
20,CIRCLE,2053.021012376361,2055.021012376361,2064.566709336857,2066.566709336857,2.0,2.0
21,CIRCLE,2057.021012376361,2059.021012376361,2067.566709336857,2069.566709336857,2.0,2.0
22,CIRCLE,2057.021012376361,2059.021012376361,2064.566709336857,2066.566709336857,2.0,2.0
23,LINE,2161.021012376361,2161.021012376361,2072.066709336857,2080.066709336857,0.0,8.0
24,LINE,2161.021012376361,2161.021012376361,2054.066709336857,2062.066709336857,0.0,8.0
25,LINE,2161.021012376361,2163.021012376361,2054.066709336857,2054.066709336857,2.0,0.0
26,LINE,2163.021012376361,2163.021012376361,2054.066709336857,2080.066709336857,0.0,26.0
27,LINE,2161.021012376361,2163.021012376361,2080.066709336857,2080.066709336857,2.0,0.0
28,LINE,2161.021012376361,2163.021012376361,2079.066709336857,2079.066709336857,2.0,0.0
29,LINE,2161.021012376361,2163.021012376361,2077.066709336857,2077.066709336857,2.0,0.0
30,LINE,2161.021012376361,2163.021012376361,2055.066709336857,2055.066709336857,2.0,0.0
31,LINE,2161.021012376361,2163.021012376361,2057.066709336857,2057.066709336857,2.0,0.0
32,LINE,2163.021012376361,2164.021012376361,2075.066709336857,2075.066709336857,1.0,0.0
33,LINE,2163.021012376361,2164.021012376361,2059.066709336857,2059.066709336857,1.0,0.0
34,LINE,2164.021012376361,2164.021012376361,2059.066709336857,2075.066709336857,0.0,16.0
35,LINE,2164.021012376361,2169.021012376361,2073.066709336857,2073.066709336857,5.0,0.0
36,LINE,2164.029537920609,2169.029537920609,2061.066745679969,2061.066745679969,5.0,0.0
37,LINE,2169.021012376361,2169.029537920609,2061.066745679969,2073.066709336857,0.008525544248186634,11.999963656888212
38,LINE,2169.021012376361,2170.021012376361,2073.066709336857,2074.066709336857,1.0,1.0
39,LINE,2169.029537920609,2170.029537920609,2060.066745679969,2061.066745679969,1.0,1.0
40,LINE,2170.021012376361,2170.029537920609,2060.066745679969,2074.066709336857,0.008525544248186634,13.999963656888212
41,LINE,2170.021012376361,2170.021012376361,2074.066709336857,2075.066709336857,0.0,1.0
42,LINE,2170.029537920609,2170.030146889524,2059.066745865391,2060.066745679969,0.0006089689150030608,0.9999998145776772
43,LINE,2170.021012376361,2171.021012376361,2075.066709336857,2076.066709336857,1.0,1.0
44,LINE,2170.030146889524,2171.030146889524,2058.066745865391,2059.066745865391,1.0,1.0
45,LINE,2171.021012376361,2175.021012376361,2076.066709336857,2076.066709336857,4.0,0.0
46,LINE,2171.030146889524,2175.030146889524,2058.066745865391,2058.066745865391,4.0,0.0
47,LINE,2177.022534798311,2178.022534798311,2073.066709336857,2073.066709336857,1.0,0.0
48,LINE,2177.028624467668,2178.028624467668,2061.066745679969,2061.066745679969,1.0,0.0
49,LINE,2178.022534798311,2178.028624467668,2061.066745679969,2073.066709336857,0.006089669357152161,11.999963656888212
50,LINE,2163.021012376361,2163.021012376361,2078.066709336857,2079.066709336857,0.0,1.0
51,LINE,2163.021012376361,2163.021012376361,2055.066709336857,2056.066709336857,0.0,1.0
52,LINE,2178.020504902378,2178.022534798311,2073.066709336857,2077.066709336857,0.0020298959329920763,4.0
53,LINE,2178.028624467668,2178.030654382044,2057.066709336857,2061.066745679969,0.002029914375725639,4.000036343111788
54,LINE,2178.020504902378,2179.522534798311,2073.066709336857,2077.066709336857,1.502029895932992,4.0
55,LINE,2179.522534798311,2179.522534798311,2061.066745679969,2073.066709336857,0.0,11.999963656888212
56,LINE,2178.030654382044,2179.522534798311,2057.066709336857,2061.066745679969,1.4918804162671222,4.000036343111788
57,LINE,2180.522534798311,2180.522534798311,2073.066709336857,2075.566709336857,0.0,2.5
58,LINE,2180.522534798311,2181.522534798311,2073.066709336857,2075.566709336857,1.0,2.5
59,LINE,2181.522534798311,2181.522534798311,2061.066745679969,2073.066709336857,0.0,11.999963656888212
60,LINE,2180.522534798311,2180.522534798311,2061.066745679969,2073.066709336857,0.0,11.999963656888212
61,LINE,2180.522534798311,2180.522534798311,2058.566745679969,2061.066745679969,0.0,2.5
62,LINE,2180.522534798311,2181.522534798311,2058.566745679969,2061.066745679969,1.0,2.5
63,LINE,2182.522534798311,2182.522534798311,2073.066709336857,2077.066709336857,0.0,4.0
64,LINE,2182.522534798311,2182.522534798311,2057.066709336857,2073.066709336857,0.0,16.0
65,LINE,2182.522534798311,2184.022534798311,2073.066709336857,2077.066709336857,1.5,4.0
66,LINE,2184.022534798311,2184.022534798311,2061.066745679969,2073.066709336857,0.0,11.999963656888212
67,LINE,2182.522534798311,2184.022534798311,2057.066709336857,2061.066745679969,1.5,4.000036343111788
68,LINE,2185.022534798311,2185.022534798311,2073.066709336857,2075.566709336857,0.0,2.5
69,LINE,2185.022534798311,2185.022534798311,2058.566745679969,2073.066709336857,0.0,14.499963656888212
70,LINE,2185.022534798311,2186.022534798311,2073.066709336857,2075.566709336857,1.0,2.5
71,LINE,2186.022534798311,2186.022534798311,2061.066745679969,2073.066709336857,0.0,11.999963656888212
72,LINE,2185.022534798311,2186.022534798311,2058.566745679969,2061.066745679969,1.0,2.5
73,LINE,2187.022534798311,2187.028624467668,2061.066745679969,2073.066709336857,0.006089669357152161,11.999963656888212
74,LINE,2187.020504902378,2187.022534798311,2073.066709336857,2077.066709336857,0.0020298959329920763,4.0
75,LINE,2187.028624467668,2187.030654382044,2057.066709336857,2061.066745679969,0.002029914375725639,4.000036343111788
76,LINE,2187.020504902378,2188.522534798311,2073.066709336857,2077.066709336857,1.502029895932992,4.0
77,LINE,2188.522534798311,2188.522534798311,2061.066745679969,2073.066709336857,0.0,11.999963656888212
78,LINE,2187.030654382044,2188.522534798311,2057.066709336857,2061.066745679969,1.4918804162671222,4.000036343111788
79,LINE,2189.522534798311,2189.522534798311,2073.066709336857,2075.566709336857,0.0,2.5
80,LINE,2189.522534798311,2190.522534798311,2073.066709336857,2075.566709336857,1.0,2.5
81,LINE,2190.522534798311,2190.522534798311,2061.066745679969,2073.066709336857,0.0,11.999963656888212
82,LINE,2189.522534798311,2189.522534798311,2061.066745679969,2073.066709336857,0.0,11.999963656888212
83,LINE,2189.522534798311,2189.522534798311,2058.566745679969,2061.066745679969,0.0,2.5
84,LINE,2189.522534798311,2190.522534798311,2058.566745679969,2061.066745679969,1.0,2.5
85,LINE,2191.522534798311,2191.528624467668,2061.066745679969,2073.066709336857,0.006089669357152161,11.999963656888212
86,LINE,2191.520504902378,2191.522534798311,2073.066709336857,2077.066709336857,0.0020298959329920763,4.0
87,LINE,2191.528624467668,2191.530654382044,2057.066709336857,2061.066745679969,0.002029914375725639,4.000036343111788
88,LINE,2191.520504902378,2193.022534798311,2073.066709336857,2077.066709336857,1.502029895932992,4.0
89,LINE,2193.022534798311,2193.022534798311,2061.066745679969,2073.066709336857,0.0,11.999963656888212
90,LINE,2191.530654382044,2193.022534798311,2057.066709336857,2061.066745679969,1.4918804162671222,4.000036343111788
91,LINE,2194.022534798311,2194.022534798311,2073.066709336857,2075.566709336857,0.0,2.5
92,LINE,2194.022534798311,2195.022534798311,2073.066709336857,2075.566709336857,1.0,2.5
93,LINE,2195.022534798311,2195.022534798311,2061.066745679969,2073.066709336857,0.0,11.999963656888212
94,LINE,2194.022534798311,2194.022534798311,2061.066745679969,2073.066709336857,0.0,11.999963656888212
95,LINE,2194.022534798311,2194.022534798311,2058.566745679969,2061.066745679969,0.0,2.5
96,LINE,2194.022534798311,2195.022534798311,2058.566745679969,2061.066745679969,1.0,2.5
97,LINE,2196.022534798311,2196.028624467668,2061.066745679969,2073.066709336857,0.006089669357152161,11.999963656888212
98,LINE,2196.020504902378,2196.022534798311,2073.066709336857,2077.066709336857,0.0020298959329920763,4.0
99,LINE,2196.028624467668,2196.030654382044,2057.066709336857,2061.066745679969,0.002029914375725639,4.000036343111788
100,LINE,2196.020504902378,2197.522534798311,2073.066709336857,2077.066709336857,1.502029895932992,4.0
101,LINE,2197.522534798311,2197.522534798311,2061.066745679969,2073.066709336857,0.0,11.999963656888212
102,LINE,2196.030654382044,2197.522534798311,2057.066709336857,2061.066745679969,1.4918804162671222,4.000036343111788
103,LINE,2198.522534798311,2198.522534798311,2073.066709336857,2075.566709336857,0.0,2.5
104,LINE,2198.522534798311,2199.522534798311,2073.066709336857,2075.566709336857,1.0,2.5
105,LINE,2199.522534798311,2199.522534798311,2061.066745679969,2073.066709336857,0.0,11.999963656888212
106,LINE,2198.522534798311,2198.522534798311,2061.066745679969,2073.066709336857,0.0,11.999963656888212
107,LINE,2198.522534798311,2198.522534798311,2058.566745679969,2061.066745679969,0.0,2.5
108,LINE,2198.522534798311,2199.522534798311,2058.566745679969,2061.066745679969,1.0,2.5
109,LINE,2200.522534798311,2200.528624467668,2061.066745679969,2073.066709336857,0.006089669357152161,11.999963656888212
