strip_id,z_start_mm,z_end_mm,r_inner_mm,r_outer_mm,cad_x_start,cad_x_end,cad_y_envelope,source
oil_000,-595.0,-578.472,32.0,39.6,2052.021012,2055.04879,2070.066709,Drawing1.dxf upper envelope rescaled to L2=595 mm and D1/2=66 mm
oil_001,-578.472,-561.944,32.0,39.6,2055.04879,2058.076568,2070.066709,Drawing1.dxf upper envelope rescaled to L2=595 mm and D1/2=66 mm
oil_002,-561.944,-545.417,32.0,39.6,2058.076568,2061.104346,2070.066709,Drawing1.dxf upper envelope rescaled to L2=595 mm and D1/2=66 mm
oil_003,-545.417,-528.889,32.0,39.6,2061.104346,2064.132123,2070.066709,Drawing1.dxf upper envelope rescaled to L2=595 mm and D1/2=66 mm
oil_004,-528.889,-512.361,32.0,39.6,2064.132123,2067.159901,2070.066709,Drawing1.dxf upper envelope rescaled to L2=595 mm and D1/2=66 mm
oil_005,-512.361,-495.833,32.0,39.6,2067.159901,2070.187679,2070.066709,Drawing1.dxf upper envelope rescaled to L2=595 mm and D1/2=66 mm
oil_006,-495.833,-479.306,32.0,41.506,2070.187679,2073.215457,2070.211094,Drawing1.dxf upper envelope rescaled to L2=595 mm and D1/2=66 mm
oil_007,-479.306,-462.778,32.0,44.188,2073.215457,2076.243235,2070.414303,Drawing1.dxf upper envelope rescaled to L2=595 mm and D1/2=66 mm
oil_008,-462.778,-446.25,32.0,46.8,2076.243235,2079.271012,2070.612164,Drawing1.dxf upper envelope rescaled to L2=595 mm and D1/2=66 mm
oil_009,-446.25,-429.722,32.0,49.482,2079.271012,2082.29879,2070.815372,Drawing1.dxf upper envelope rescaled to L2=595 mm and D1/2=66 mm
oil_010,-429.722,-413.194,32.0,52.165,2082.29879,2085.326568,2071.018581,Drawing1.dxf upper envelope rescaled to L2=595 mm and D1/2=66 mm
oil_011,-413.194,-396.667,32.0,54.847,2085.326568,2088.354346,2071.22179,Drawing1.dxf upper envelope rescaled to L2=595 mm and D1/2=66 mm
oil_012,-396.667,-380.139,32.0,57.459,2088.354346,2091.382123,2071.419651,Drawing1.dxf upper envelope rescaled to L2=595 mm and D1/2=66 mm
oil_013,-380.139,-363.611,32.0,60.141,2091.382123,2094.409901,2071.622859,Drawing1.dxf upper envelope rescaled to L2=595 mm and D1/2=66 mm
oil_014,-363.611,-347.083,32.0,62.824,2094.409901,2097.437679,2071.826068,Drawing1.dxf upper envelope rescaled to L2=595 mm and D1/2=66 mm
oil_015,-347.083,-330.556,32.0,65.506,2097.437679,2100.465457,2072.029276,Drawing1.dxf upper envelope rescaled to L2=595 mm and D1/2=66 mm
oil_016,-330.556,-314.028,32.0,66.0,2100.465457,2103.493235,2072.066709,Drawing1.dxf upper envelope rescaled to L2=595 mm and D1/2=66 mm
