component,parameter,value,unit,source,assumed,note
selected_model,model_name,BRFGL1-126/1250-4,-,uploaded_drawing,false,Direct-current carrying RIP dry condenser bushing
rating,rated_voltage,126,kV,uploaded_drawing,false,Rated voltage
rating,rated_current,1250,A,uploaded_drawing,false,Rated current
overall,axial_total_length_L,2245,mm,uploaded_drawing,false,Overall axial length
overall,creepage_distance,3906,mm,uploaded_drawing,false,"Nominal creepage distance, not axial length"
overall,air_side_equivalent_length,1650,mm,derived_from_L_minus_L2,true,L - L2 = 2245 - 595
overall,oil_immersed_length_L2,595,mm,uploaded_drawing,false,Oil immersed length
external_insulation,length_L1,1150,mm,uploaded_drawing,false,Air-side external insulation length
external_insulation,outer_diameter_D2,270,mm,uploaded_drawing,false,External insulation envelope diameter
external_insulation,outer_radius_D2_over_2,135,mm,derived,false,D2/2
flange,length_L4,200,mm,uploaded_drawing,false,Connection flange length
flange,outer_diameter_D,400,mm,uploaded_drawing,false,Flange outer diameter
flange,outer_radius_D_over_2,200,mm,derived,false,D/2
flange,bolt_circle_diameter_D0,350,mm,uploaded_drawing,false,"Bolt circle diameter, not used in 2D axisymmetric geometry"
flange,thickness_H,30,mm,uploaded_drawing,false,Flange thickness
terminal,terminal_size_a1,40,mm,uploaded_drawing,false,Terminal dimension
ct_region,length_L3,200,mm,uploaded_drawing,false,CT length
conductor,conduit_inner_diameter_d3,40,mm,uploaded_drawing,false,Conduit inner diameter
conductor,conduit_inner_radius,20,mm,derived,false,d3/2
oil_side_core,diameter_D1,132,mm,uploaded_drawing,false,Core diameter in oil
oil_side_core,radius_D1_over_2,66,mm,derived,false,D1/2
modeling,axisymmetry,true,-,modeling_choice,false,2D r-z axisymmetric model
modeling,hybrid_parametric_model,true,-,modeling_choice,false,Drawing-based outer geometry plus parameterized inner condenser core
