typical_day_id,selection_basis,time,temperature_2m_C,relative_humidity_2m_pct,wind_speed_10m_m_s,shortwave_radiation_W_m2,precipitation_mm,daily_max_temperature_C,daily_min_temperature_C,daily_mean_wind_m_s,daily_shortwave_sum_Wh_m2,daily_mean_relative_humidity_pct,latitude_deg,longitude_deg,timezone,source_url,quality_flag
extreme_hot_day,Maximum hourly temperature day in 2025 Shenyang Open-Meteo dataset.,2025-06-24T00:00,26.4,57,8.1,0.0,0.0,36.30,23.60,6.72,7038.00,35.00,41.8057,123.4315,Asia/Shanghai,https://archive-api.open-meteo.com/v1/archive,selected_from_full_year_2025_open_meteo;site_assumed_shenyang
extreme_hot_day,Maximum hourly temperature day in 2025 Shenyang Open-Meteo dataset.,2025-06-24T01:00,25.5,58,8.3,0.0,0.0,36.30,23.60,6.72,7038.00,35.00,41.8057,123.4315,Asia/Shanghai,https://archive-api.open-meteo.com/v1/archive,selected_from_full_year_2025_open_meteo;site_assumed_shenyang
extreme_hot_day,Maximum hourly temperature day in 2025 Shenyang Open-Meteo dataset.,2025-06-24T02:00,24.9,56,7.6,0.0,0.0,36.30,23.60,6.72,7038.00,35.00,41.8057,123.4315,Asia/Shanghai,https://archive-api.open-meteo.com/v1/archive,selected_from_full_year_2025_open_meteo;site_assumed_shenyang
extreme_hot_day,Maximum hourly temperature day in 2025 Shenyang Open-Meteo dataset.,2025-06-24T03:00,24.3,54,6.3,0.0,0.0,36.30,23.60,6.72,7038.00,35.00,41.8057,123.4315,Asia/Shanghai,https://archive-api.open-meteo.com/v1/archive,selected_from_full_year_2025_open_meteo;site_assumed_shenyang
extreme_hot_day,Maximum hourly temperature day in 2025 Shenyang Open-Meteo dataset.,2025-06-24T04:00,23.9,54,5.6,0.0,0.0,36.30,23.60,6.72,7038.00,35.00,41.8057,123.4315,Asia/Shanghai,https://archive-api.open-meteo.com/v1/archive,selected_from_full_year_2025_open_meteo;site_assumed_shenyang
extreme_hot_day,Maximum hourly temperature day in 2025 Shenyang Open-Meteo dataset.,2025-06-24T05:00,23.6,54,6.3,16.0,0.0,36.30,23.60,6.72,7038.00,35.00,41.8057,123.4315,Asia/Shanghai,https://archive-api.open-meteo.com/v1/archive,selected_from_full_year_2025_open_meteo;site_assumed_shenyang
extreme_hot_day,Maximum hourly temperature day in 2025 Shenyang Open-Meteo dataset.,2025-06-24T06:00,24.2,52,5.2,106.0,0.0,36.30,23.60,6.72,7038.00,35.00,41.8057,123.4315,Asia/Shanghai,https://archive-api.open-meteo.com/v1/archive,selected_from_full_year_2025_open_meteo;site_assumed_shenyang
extreme_hot_day,Maximum hourly temperature day in 2025 Shenyang Open-Meteo dataset.,2025-06-24T07:00,26.0,45,4.4,254.0,0.0,36.30,23.60,6.72,7038.00,35.00,41.8057,123.4315,Asia/Shanghai,https://archive-api.open-meteo.com/v1/archive,selected_from_full_year_2025_open_meteo;site_assumed_shenyang
extreme_hot_day,Maximum hourly temperature day in 2025 Shenyang Open-Meteo dataset.,2025-06-24T08:00,28.5,37,4.3,423.0,0.0,36.30,23.60,6.72,7038.00,35.00,41.8057,123.4315,Asia/Shanghai,https://archive-api.open-meteo.com/v1/archive,selected_from_full_year_2025_open_meteo;site_assumed_shenyang
extreme_hot_day,Maximum hourly temperature day in 2025 Shenyang Open-Meteo dataset.,2025-06-24T09:00,30.6,33,4.7,572.0,0.0,36.30,23.60,6.72,7038.00,35.00,41.8057,123.4315,Asia/Shanghai,https://archive-api.open-meteo.com/v1/archive,selected_from_full_year_2025_open_meteo;site_assumed_shenyang
