case_id,Qdielectric_RIP_ref_W,Qdielectric_RIP_field_W,Qdielectric_ratio_field_to_ref,Qdielectric_min_density_W_m3,Qdielectric_mean_density_W_m3,Qdielectric_max_density_W_m3,integration_method,dielectric_loss_review_required,status,notes
RUN010_CASE_001,2.54518841,28.0485376,11.0202205,0.00000000,2357.79657,97318.3567,axisymmetric_2pi_r_RIP_domain_integral,true,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_002,2.54518841,28.0485376,11.0202205,0.00000000,2357.79657,97318.3567,axisymmetric_2pi_r_RIP_domain_integral,true,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_003,2.54518841,28.0485376,11.0202205,0.00000000,2357.79657,97318.3567,axisymmetric_2pi_r_RIP_domain_integral,true,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_004,2.54518841,28.0485376,11.0202205,0.00000000,2357.79657,97318.3567,axisymmetric_2pi_r_RIP_domain_integral,true,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_005,2.54518841,28.0485376,11.0202205,0.00000000,2357.79657,97318.3567,axisymmetric_2pi_r_RIP_domain_integral,true,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_006,2.54518841,28.0485376,11.0202205,0.00000000,2357.79657,97318.3567,axisymmetric_2pi_r_RIP_domain_integral,true,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_007,2.54518841,28.0485376,11.0202205,0.00000000,2357.79657,97318.3567,axisymmetric_2pi_r_RIP_domain_integral,true,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_008,2.54518841,28.0485376,11.0202205,0.00000000,2357.79657,97318.3567,axisymmetric_2pi_r_RIP_domain_integral,true,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_009,2.54518841,28.0485376,11.0202205,0.00000000,2357.79657,97318.3567,axisymmetric_2pi_r_RIP_domain_integral,true,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_010,2.54518841,28.0485376,11.0202205,0.00000000,2357.79657,97318.3567,axisymmetric_2pi_r_RIP_domain_integral,true,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_011,2.54518841,28.0485376,11.0202205,0.00000000,2357.79657,97318.3567,axisymmetric_2pi_r_RIP_domain_integral,true,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_012,2.54518841,28.0485376,11.0202205,0.00000000,2357.79657,97318.3567,axisymmetric_2pi_r_RIP_domain_integral,true,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_013,2.54518841,28.0485376,11.0202205,0.00000000,2357.79657,97318.3567,axisymmetric_2pi_r_RIP_domain_integral,true,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_014,2.54518841,28.0485376,11.0202205,0.00000000,2357.79657,97318.3567,axisymmetric_2pi_r_RIP_domain_integral,true,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_015,2.54518841,28.0485376,11.0202205,0.00000000,2357.79657,97318.3567,axisymmetric_2pi_r_RIP_domain_integral,true,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_016,2.54518841,28.0485376,11.0202205,0.00000000,2357.79657,97318.3567,axisymmetric_2pi_r_RIP_domain_integral,true,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
