case_id,Emax_global_V_per_m,Emax_RIP_V_per_m,Emax_RIP_probe_excluding_edges_V_per_m,E95_RIP_V_per_m,Emean_RIP_V_per_m,field_singularity_flag,screen_end_hotspot_flag,notes
RUN010_CASE_001,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_002,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_003,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_004,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_005,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_006,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_007,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_008,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_009,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_010,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_011,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_012,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_013,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_014,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_015,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_016,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_017,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_018,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_019,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_020,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_021,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_022,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_023,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_024,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_025,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_026,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_027,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_028,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_029,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_030,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_031,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_032,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_033,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_034,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_035,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
