case_id,Qtotal_generated_W,Qremoved_air_W,Qremoved_oil_W,Qremoved_flange_W,Qremoved_total_W,residual_W,residual_percent_Qgenerated,residual_percent_max_energy_scale,heat_balance_status,notes
RUN010_CASE_001,40.3757848,37.5845933,-40.0409531,43.5123844,41.0560245,-0.680239717,-1.68477150,-0.561541469,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_002,50.1715980,41.8584165,-35.9651663,45.1010443,50.9942944,-0.822696410,-1.63976521,-0.669268990,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_003,63.0438334,47.4893834,-30.6209655,47.1861680,64.0545859,-1.01075243,-1.60325344,-0.806688371,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_004,79.2186030,54.5886694,-23.9240044,49.8023568,80.4670218,-1.24841879,-1.57591619,-0.972932619,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_005,98.9942120,63.3033733,-15.7633335,52.9951853,100.535225,-1.54101306,-1.55666986,-1.16688701,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_006,40.5524509,43.9510771,-55.0896772,52.4714401,41.3328400,-0.780389077,-1.92439436,-0.515066844,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_007,50.4883099,48.2775944,-50.9489865,54.0841028,51.4127107,-0.924400858,-1.83092058,-0.602959191,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_008,63.5441203,53.9779416,-45.5199504,56.2006419,64.6586331,-1.11451283,-1.75391967,-0.715814592,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_009,79.9488469,61.1646252,-38.7171032,58.8561072,81.3036293,-1.35478235,-1.69456147,-0.853471604,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_010,100.004546,69.9865037,-30.4280308,62.0966615,101.655134,-1.65058854,-1.65051351,-1.01567681,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_011,40.7291171,50.3175609,-70.1384012,61.4304958,41.6096555,-0.880538438,-2.16193844,-0.484114347,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_012,50.8050217,54.6967723,-65.9328067,63.0671614,51.8311270,-1.02610531,-2.01969268,-0.558586562,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_013,64.0444071,60.4664997,-60.4189353,65.2151159,65.2626803,-1.21827322,-1.90223202,-0.654631711,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_014,80.6790908,67.7405810,-53.5102019,67.9098577,82.1402368,-1.46114592,-1.81105898,-0.772436545,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_015,101.014880,76.6696341,-45.0927281,71.1981377,102.775044,-1.76016402,-1.74247994,-0.912188775,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_016,40.9057832,56.6840448,-85.1871252,70.3895515,41.8864710,-0.980687798,-2.39743068,-0.462020383,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_017,51.1217336,61.1159503,-80.9166268,72.0502199,52.2495433,-1.12780975,-2.20612580,-0.526810080,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_018,64.5446940,66.9550579,-75.3179201,74.2295898,65.8667276,-1.32203361,-2.04824523,-0.610631840,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_019,81.4093348,74.3165368,-68.3033006,76.9636081,82.9768442,-1.56750948,-1.92546651,-0.713855945,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_020,102.025214,83.3527645,-59.7574254,80.2996139,103.894953,-1.86973950,-1.83262493,-0.836910229,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_021,41.0824494,63.0505286,-100.235849,79.3486072,42.1632865,-1.08083716,-2.63089756,-0.445458085,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_022,51.4384454,67.5351282,-95.9004470,81.0332785,52.6679596,-1.22951420,-2.39026314,-0.502932862,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_023,65.0449808,73.4436161,-90.2169050,83.2440638,66.4707748,-1.42579401,-2.19201234,-0.577467612,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_024,82.1395787,80.8924926,-83.0963994,86.0173585,83.8134517,-1.67387304,-2.03783982,-0.669532478,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_025,103.035547,90.0358949,-74.4221226,89.4010901,105.014862,-1.97931498,-1.92100205,-0.779690357,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_026,40.9474509,37.9466371,-39.8854643,43.5828373,41.6440102,-0.696559264,-1.70110532,-0.573701450,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_027,51.2009071,42.5091658,-35.6844294,45.2281549,52.0528913,-0.851984230,-1.66400222,-0.690303151,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_028,64.6789830,48.5208493,-30.1734057,47.3886213,65.7360649,-1.05708186,-1.63435139,-0.838402399,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_029,81.6221156,56.1006618,-23.2632748,50.1008927,82.9382796,-1.31616402,-1.61250908,-1.01661898,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_030,102.347647,65.4060389,-14.8367256,53.4132801,103.982593,-1.63494642,-1.59744407,-1.22324914,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_031,41.1241170,44.3131209,-54.9341883,52.5418930,41.9208257,-0.796708625,-1.93732700,-0.524878327,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_032,51.5176189,48.9283437,-50.6682496,54.2112135,52.4713076,-0.953688678,-1.85118936,-0.620052192,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_033,65.1792699,55.0094075,-45.0723906,56.4030952,66.3401121,-1.16084225,-1.78099917,-0.741823847,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_034,82.3523596,62.6766176,-38.0563736,59.1546431,83.7748871,-1.42252759,-1.72736713,-0.889704569,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_035,103.357981,72.0891693,-29.5014229,62.5147563,105.102503,-1.74452190,-1.68784441,-1.06305000,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_036,41.3007832,50.6796048,-69.9829123,61.5009487,42.1976412,-0.896857985,-2.17152779,-0.492336914,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_037,51.8343308,55.3475217,-65.6520698,63.1942720,52.8897239,-1.05539313,-2.03608904,-0.572979526,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_038,65.6795567,61.4979657,-59.9713755,65.4175691,66.9441594,-1.26460265,-1.92541289,-0.676667321,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_039,83.0826035,69.2525733,-52.8494723,68.2083936,84.6114946,-1.52889115,-1.84020612,-0.803366939,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_040,104.368315,78.7722997,-44.1661202,71.6162324,106.222412,-1.85409738,-1.77649451,-0.952995654,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_041,41.4774493,57.0460886,-85.0316363,70.4600044,42.4744567,-0.997007346,-2.40373350,-0.469096639,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_042,52.1510426,61.7666996,-80.6358899,72.1773306,53.3081402,-1.15709757,-2.21874294,-0.539238515,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_043,66.1798436,67.9865238,-74.8703603,74.4320431,67.5482066,-1.36836304,-2.06764321,-0.629743568,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_044,83.8128474,75.8285291,-67.6425710,77.2621440,85.4481021,-1.63525471,-1.95107882,-0.740828470,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_045,105.378648,85.4554301,-58.8308175,80.7177086,107.342321,-1.96367286,-1.86344472,-0.872728149,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
RUN010_CASE_046,41.6541155,63.4125724,-100.080360,79.4190601,42.7512722,-1.09715671,-2.63396952,-0.451668398,VALID_STRICT,"RUN008B heat-balance classification retained; negative oil term means heat enters solid from hot oil"
