case_id,Qjoule_conductor_W,Qcontact_W,Qdielectric_RIP_field_W,Qscreen_loss_W,Qtotal_W,Qjoule_expected_I2R_W,Qcontact_expected_I2Rc_W,Qjoule_relative_error_pct,Qcontact_relative_error_pct,status,notes
RUN010_CASE_001,11.7647472,0.562500000,28.0485376,0.00000000,40.3757848,11.7647472,0.562500000,-7.54949003e-14,-3.94745964e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_002,21.1230605,1.00000000,28.0485376,0.00000000,50.1715980,21.1230605,1.00000000,-4.70935465e-13,-6.66133815e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_003,33.4327959,1.56250000,28.0485376,0.00000000,63.0438334,33.4327959,1.56250000,2.55034394e-13,-8.52651283e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_004,48.9200654,2.25000000,28.0485376,0.00000000,79.2186030,48.9200654,2.25000000,4.35736990e-14,-3.94745964e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_005,67.8831744,3.06250000,28.0485376,0.00000000,98.9942120,67.8831744,3.06250000,1.46539969e-13,-1.45008722e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_006,11.9414134,0.562500000,28.0485376,0.00000000,40.5524509,11.9414134,0.562500000,-4.90894786e-13,-3.94745964e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_007,21.4397723,1.00000000,28.0485376,0.00000000,50.4883099,21.4397723,1.00000000,-9.94240133e-14,-6.66133815e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_008,33.9330827,1.56250000,28.0485376,0.00000000,63.5441203,33.9330827,1.56250000,1.46576696e-13,-8.52651283e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_009,49.6503094,2.25000000,28.0485376,0.00000000,79.9488469,49.6503094,2.25000000,2.00353199e-13,-3.94745964e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_010,68.8935083,3.06250000,28.0485376,0.00000000,100.004546,68.8935083,3.06250000,2.06272769e-14,-1.45008722e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_011,12.1180795,0.562500000,28.0485376,0.00000000,40.7291171,12.1180795,0.562500000,2.19880985e-13,-3.94745964e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_012,21.7564842,1.00000000,28.0485376,0.00000000,50.8050217,21.7564842,1.00000000,1.30635581e-13,-6.66133815e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_013,34.4333696,1.56250000,28.0485376,0.00000000,64.0444071,34.4333696,1.56250000,4.12705898e-14,-8.52651283e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_014,50.3805533,2.25000000,28.0485376,0.00000000,80.6790908,50.3805533,2.25000000,-3.80794823e-13,-3.94745964e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_015,69.9038421,3.06250000,28.0485376,0.00000000,101.014880,69.9038421,3.06250000,1.82962322e-13,-1.45008722e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_016,12.2947457,0.562500000,28.0485376,0.00000000,40.9057832,12.2947457,0.562500000,-1.73377170e-13,-3.94745964e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_017,22.0731960,1.00000000,28.0485376,0.00000000,51.1217336,22.0731960,1.00000000,-2.09236931e-13,-6.66133815e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_018,34.9336564,1.56250000,28.0485376,0.00000000,64.5446940,34.9336564,1.56250000,-4.06795514e-14,-8.52651283e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_019,51.1107972,2.25000000,28.0485376,0.00000000,81.4093348,51.1107972,2.25000000,-2.08530127e-13,-3.94745964e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_020,70.9141760,3.06250000,28.0485376,0.00000000,102.025214,70.9141760,3.06250000,3.00592678e-13,-1.45008722e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
