case_id,load_multiplier_pu,oil_temperature_C,contact_resistance_multiplier_pu,Tmax_global_RUN008_C,Tmax_global_RUN010_C,delta_Tmax_global_C,Tmax_RIP_RUN008_C,Tmax_RIP_RUN010_C,delta_Tmax_RIP_C,Qdielectric_RUN008_ref_W,Qdielectric_RUN010_field_W,Qdielectric_ratio_field_to_ref,risk_zone_RUN008,risk_zone_RUN010,risk_zone_changed,notes
RUN010_CASE_001,0.6,65.0,1.0,67.2251971,67.3974718,0.17227470000000267,67.2251971,67.3974718,0.17227470000000267,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_002,0.8,65.0,1.0,67.2732242,67.4411846,0.16796039999999834,67.2732242,67.4411846,0.16796039999999834,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_003,1.0,65.0,1.0,67.3280197,67.4985007,0.17048099999999522,67.3280197,67.4985007,0.17048099999999522,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_004,1.2,65.0,1.0,67.4160446,67.5703239,0.1542792999999989,67.4160446,67.5703239,0.1542792999999989,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_005,1.4,65.0,1.0,69.3093328,72.1048541,2.79552129999999,67.5062877,67.6578436,0.1515559000000053,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_006,0.6,75.0,1.0,77.7889909,77.9408825,0.15189159999999902,77.7889909,77.9408825,0.15189159999999902,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_007,0.8,75.0,1.0,77.8152197,77.9852911,0.17007139999999765,77.8152197,77.9852911,0.17007139999999765,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_008,1.0,75.0,1.0,77.8737444,78.0435165,0.16977209999998877,77.8737444,78.0435165,0.16977209999998877,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_009,1.2,75.0,1.0,77.9647601,78.1164748,0.15171469999999943,77.9647601,78.1164748,0.15171469999999943,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_010,1.4,75.0,1.0,78.05361,78.2053709,0.1517608999999993,78.05361,78.2053709,0.1517608999999993,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_011,0.6,85.0,1.0,88.3349241,88.4842933,0.14936920000000953,88.3349241,88.4842933,0.14936920000000953,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_012,0.8,85.0,1.0,88.3818524,88.5293976,0.14754519999999616,88.3818524,88.5293976,0.14754519999999616,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_013,1.0,85.0,1.0,88.4189281,88.5885323,0.16960419999999488,88.4189281,88.5885323,0.16960419999999488,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_014,1.2,85.0,1.0,88.5146611,88.6626256,0.1479645000000005,88.5146611,88.6626256,0.1479645000000005,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_015,1.4,85.0,1.0,88.6026057,88.7528981,0.15029239999999788,88.6026057,88.7528981,0.15029239999999788,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_016,0.6,95.0,1.0,98.8809518,99.027704,0.14675219999999456,98.8809518,99.027704,0.14675219999999456,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_017,0.8,95.0,1.0,98.9281993,99.073504,0.14530469999999696,98.9281993,99.073504,0.14530469999999696,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_018,1.0,95.0,1.0,98.9629953,99.1335482,0.17055290000000412,98.9629953,99.1335482,0.17055290000000412,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_019,1.2,95.0,1.0,99.0352341,99.2087765,0.17354240000000232,99.0352341,99.2087765,0.17354240000000232,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_020,1.4,95.0,1.0,99.152878,99.3004253,0.14754729999999938,99.152878,99.3004253,0.14754729999999938,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_021,0.6,105.0,1.0,109.427036,109.571115,0.14407900000000495,109.427036,109.571115,0.14407900000000495,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_022,0.8,105.0,1.0,109.474655,109.617611,0.14295599999999808,109.474655,109.617611,0.14295599999999808,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_023,1.0,105.0,1.0,109.538466,109.678564,0.14009799999999473,109.538466,109.678564,0.14009799999999473,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_024,1.2,105.0,1.0,109.582123,109.754927,0.1728039999999993,109.582123,109.754927,0.1728039999999993,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_025,1.4,105.0,1.0,109.704009,109.847953,0.14394400000000473,109.704009,109.847953,0.14394400000000473,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_026,0.6,65.0,2.0,67.2270758,67.39913,0.17205420000000515,67.2270758,67.39913,0.17205420000000515,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_027,0.8,65.0,2.0,67.2762651,67.4441788,0.16791369999999972,67.2762651,67.4441788,0.16791369999999972,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_028,1.0,65.0,2.0,67.3327452,67.5032743,0.170529099999996,67.3327452,67.5032743,0.170529099999996,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_029,1.2,65.0,2.0,67.4233959,67.5773719,0.1539760000000001,67.4233959,67.5773719,0.1539760000000001,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_030,1.4,65.0,2.0,71.9720406,74.7683116,2.7962710000000044,67.5169261,70.1797532,2.662827099999987,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_031,0.6,75.0,2.0,77.7908302,77.9425407,0.15171049999999298,77.7908302,77.9425407,0.15171049999999298,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_032,0.8,75.0,2.0,77.8184284,77.9882852,0.16985680000000514,77.8184284,77.9882852,0.16985680000000514,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_033,1.0,75.0,2.0,77.878397,78.0482902,0.16989319999998997,77.878397,78.0482902,0.16989319999998997,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_034,1.2,75.0,2.0,77.9719945,78.1235228,0.1515283000000096,77.9719945,78.1235228,0.1515283000000096,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_035,1.4,75.0,2.0,78.0640247,78.215256,0.15123129999999207,78.0640247,78.215256,0.15123129999999207,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_036,0.6,85.0,2.0,88.3367399,88.4859515,0.149211600000001,88.3367399,88.4859515,0.149211600000001,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_037,0.8,85.0,2.0,88.3852267,88.5323917,0.1471650000000011,88.3852267,88.5323917,0.1471650000000011,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_038,1.0,85.0,2.0,88.4236562,88.593306,0.16964980000000196,88.4236562,88.593306,0.16964980000000196,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_039,1.2,85.0,2.0,88.5218624,88.6696736,0.14781119999999248,88.5218624,88.6696736,0.14781119999999248,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_040,1.4,85.0,2.0,88.6128428,88.7627833,0.1499404999999996,88.6128428,88.7627833,0.1499404999999996,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_041,0.6,95.0,2.0,98.8827493,99.0293623,0.1466130000000021,98.8827493,99.0293623,0.1466130000000021,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_042,0.8,95.0,2.0,98.9315631,99.0764982,0.14493509999999787,98.9315631,99.0764982,0.14493509999999787,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_043,1.0,95.0,2.0,98.9678769,99.1383219,0.17044500000000085,98.9678769,99.1383219,0.17044500000000085,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_044,1.2,95.0,2.0,99.0722091,99.2158245,0.14361540000000161,99.0722091,99.2158245,0.14361540000000161,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_045,1.4,95.0,2.0,99.1629963,99.3103105,0.14731419999999673,99.1629963,99.3103105,0.14731419999999673,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_046,0.6,105.0,2.0,109.428819,109.572773,0.1439539999999937,109.428819,109.572773,0.1439539999999937,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_047,0.8,105.0,2.0,109.477999,109.620605,0.14260600000000068,109.477999,109.620605,0.14260600000000068,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_048,1.0,105.0,2.0,109.54376,109.683338,0.1395780000000002,109.54376,109.683338,0.1395780000000002,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_049,1.2,105.0,2.0,109.588961,109.761975,0.1730140000000091,109.588961,109.761975,0.1730140000000091,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_050,1.4,105.0,2.0,109.714066,109.857838,0.14377199999999846,109.714066,109.857838,0.14377199999999846,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_051,0.6,65.0,5.0,67.2326705,67.4041047,0.1714342000000073,67.2326705,67.4041047,0.1714342000000073,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_052,0.8,65.0,5.0,67.2853368,67.4531611,0.1678243000000066,67.2853368,67.4531611,0.1678243000000066,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_053,1.0,65.0,5.0,67.3650266,67.5175954,0.1525688000000116,67.3650266,67.5175954,0.1525688000000116,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_054,1.2,65.0,5.0,67.6765332,70.364617,2.688083800000001,67.4454226,67.5985159,0.15309329999999477,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_055,1.4,65.0,5.0,79.9649033,82.7586842,2.7937809000000016,75.202211,77.9690267,2.766815699999995,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_056,0.6,75.0,5.0,77.7963423,77.9475154,0.15117309999999407,77.7963423,77.9475154,0.15117309999999407,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_057,0.8,75.0,5.0,77.8279423,77.9972676,0.16932529999999701,77.8279423,77.9972676,0.16932529999999701,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_058,1.0,75.0,5.0,77.8924444,78.0626112,0.17016680000000406,77.8924444,78.0626112,0.17016680000000406,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_059,1.2,75.0,5.0,77.9935964,78.1446668,0.15107039999999472,77.9935964,78.1446668,0.15107039999999472,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
