case_id,run_id,load_multiplier_pu,current_A,oil_temperature_C,air_temperature_C,contact_resistance_multiplier_pu,voltage_multiplier_pu,tan_delta_multiplier_pu,rip_aging_conductivity_multiplier_pu,pollution_multiplier_pu,source_model,notes
RUN010_CASE_001,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,0.600000,750.000000,65.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss risk scan; not final SCI result"
RUN010_CASE_002,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,0.800000,1000.00000,65.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss risk scan; not final SCI result"
RUN010_CASE_003,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,1.000000,1250.00000,65.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss risk scan; not final SCI result"
RUN010_CASE_004,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,1.200000,1500.00000,65.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss risk scan; not final SCI result"
RUN010_CASE_005,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,1.400000,1750.00000,65.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss risk scan; not final SCI result"
RUN010_CASE_006,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,0.600000,750.000000,75.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss risk scan; not final SCI result"
RUN010_CASE_007,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,0.800000,1000.00000,75.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss risk scan; not final SCI result"
RUN010_CASE_008,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,1.000000,1250.00000,75.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss risk scan; not final SCI result"
RUN010_CASE_009,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,1.200000,1500.00000,75.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss risk scan; not final SCI result"
RUN010_CASE_010,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,1.400000,1750.00000,75.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss risk scan; not final SCI result"
RUN010_CASE_011,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,0.600000,750.000000,85.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss risk scan; not final SCI result"
RUN010_CASE_012,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,0.800000,1000.00000,85.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss risk scan; not final SCI result"
RUN010_CASE_013,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,1.000000,1250.00000,85.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss risk scan; not final SCI result"
RUN010_CASE_014,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,1.200000,1500.00000,85.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss risk scan; not final SCI result"
