oil_temperature_C,contact_resistance_multiplier_pu,max_safe_load_multiplier_pu,first_attention_load_multiplier_pu,first_warning_load_multiplier_pu,first_thermal_risk_load_multiplier_pu,Tmax_at_max_safe_load_C,Tmax_contact_at_max_safe_load_C,risk_zone_transition_note
65.000000,1.000000,1.400000,NA,NA,NA,72.1048541,67.9015696,"oil=65 C, Rc=1: safe up to load 1.4"
65.000000,2.000000,1.400000,NA,NA,NA,74.7683116,70.5293327,"oil=65 C, Rc=2: safe up to load 1.4"
65.000000,5.000000,1.400000,NA,NA,NA,82.7586842,78.4126221,"oil=65 C, Rc=5: safe up to load 1.4"
65.000000,10.000000,1.400000,NA,NA,NA,96.0759719,91.5514376,"oil=65 C, Rc=10: safe up to load 1.4"
65.000000,20.000000,1.200000,1.400000,NA,NA,99.0694393,95.7196314,"oil=65 C, Rc=20: safe up to load 1.2; first attention 1.4"
75.000000,1.000000,1.400000,NA,NA,NA,78.2053709,70.9256730,"oil=75 C, Rc=1: safe up to load 1.4"
75.000000,2.000000,1.400000,NA,NA,NA,78.2152560,73.5534361,"oil=75 C, Rc=2: safe up to load 1.4"
75.000000,5.000000,1.400000,NA,NA,NA,85.8245972,81.4367254,"oil=75 C, Rc=5: safe up to load 1.4"
75.000000,10.000000,1.400000,NA,NA,NA,99.1418849,94.5755410,"oil=75 C, Rc=10: safe up to load 1.4"
75.000000,20.000000,1.200000,1.400000,NA,NA,102.033526,98.6540738,"oil=75 C, Rc=20: safe up to load 1.2; first attention 1.4"
85.000000,1.000000,1.400000,NA,NA,NA,88.7528981,73.9497763,"oil=85 C, Rc=1: safe up to load 1.4"
85.000000,2.000000,1.400000,NA,NA,NA,88.7627833,76.5775394,"oil=85 C, Rc=2: safe up to load 1.4"
85.000000,5.000000,1.400000,NA,NA,NA,88.8905102,84.4608288,"oil=85 C, Rc=5: safe up to load 1.4"
85.000000,10.000000,1.400000,NA,NA,NA,102.207798,97.5996443,"oil=85 C, Rc=10: safe up to load 1.4"
85.000000,20.000000,1.200000,1.400000,NA,NA,104.997613,101.588516,"oil=85 C, Rc=20: safe up to load 1.2; first attention 1.4"
95.000000,1.000000,1.400000,NA,NA,NA,99.3004253,76.9738797,"oil=95 C, Rc=1: safe up to load 1.4"
95.000000,2.000000,1.400000,NA,NA,NA,99.3103105,79.6016428,"oil=95 C, Rc=2: safe up to load 1.4"
95.000000,5.000000,1.400000,NA,NA,NA,99.3399660,87.4849321,"oil=95 C, Rc=5: safe up to load 1.4"
95.000000,10.000000,1.400000,NA,NA,NA,105.273711,100.623748,"oil=95 C, Rc=10: safe up to load 1.4"
95.000000,20.000000,1.200000,NA,1.400000,NA,107.961699,104.522959,"oil=95 C, Rc=20: safe up to load 1.2; first warning 1.4"
105.000000,1.000000,1.400000,NA,NA,NA,109.847953,79.9979830,"oil=105 C, Rc=1: safe up to load 1.4"
105.000000,2.000000,1.400000,NA,NA,NA,109.857838,82.6257461,"oil=105 C, Rc=2: safe up to load 1.4"
105.000000,5.000000,1.400000,NA,NA,NA,109.887493,90.5090354,"oil=105 C, Rc=5: safe up to load 1.4"
105.000000,10.000000,1.400000,NA,NA,NA,109.936919,103.647851,"oil=105 C, Rc=10: safe up to load 1.4"
105.000000,20.000000,1.000000,1.200000,1.400000,NA,109.769264,89.1341544,"oil=105 C, Rc=20: safe up to load 1.0; first attention 1.2; first warning 1.4"
