case_id,run_id,status,load_multiplier_pu,current_A,oil_temperature_C,air_temperature_C,contact_resistance_multiplier_pu,Tmax_global_C,Tmax_conductor_C,Tmax_RIP_C,Tmax_contact_C,Tmax_silicone_C,Tmax_flange_C,Emax_global_V_per_m,Emax_RIP_V_per_m,Emax_RIP_probe_excluding_edges_V_per_m,E95_RIP_V_per_m,Qjoule_conductor_W,Qcontact_W,Qdielectric_RIP_field_W,Qdielectric_RIP_ref_W,Qdielectric_ratio_field_to_ref,Qtotal_W,heat_balance_status,heat_balance_residual_percent,field_singularity_flag,dielectric_loss_review_required,thermal_warning,thermal_risk,risk_zone,contact_risk_zone,note
RUN010_CASE_001,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,SOLVED_VALID,0.600000,750.000000,65.000000,25.000000,1.000000,67.3974718,57.2360422,67.3974718,43.8214118,46.4317367,39.6164454,45634515.2,45634515.2,45634515.2,13106429.4,11.7647472,0.562500000,28.0485376,2.54518841,11.0202205,40.3757848,VALID_STRICT,-1.68477150,false,true,false,false,safe,contact_safe,"RUN010 full field-coupled dielectric-loss 125-case risk scan; by-ID selections; RUN006 source normalization; not final SCI result; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_002,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,SOLVED_VALID,0.800000,1000.00000,65.000000,25.000000,1.000000,67.4411846,58.8606763,67.4411846,47.8059085,47.6190695,40.0619432,45634515.2,45634515.2,45634515.2,13106429.4,21.1230605,1.00000000,28.0485376,2.54518841,11.0202205,50.1715980,VALID_STRICT,-1.63976521,false,true,false,false,safe,contact_safe,"RUN010 full field-coupled dielectric-loss 125-case risk scan; by-ID selections; RUN006 source normalization; not final SCI result; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_003,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,SOLVED_VALID,1.000000,1250.00000,65.000000,25.000000,1.000000,67.4985007,60.9879082,67.4985007,53.0662722,49.1851140,40.6466293,45634515.2,45634515.2,45634515.2,13106429.4,33.4327959,1.56250000,28.0485376,2.54518841,11.0202205,63.0438334,VALID_STRICT,-1.60325344,false,true,false,false,safe,contact_safe,"RUN010 full field-coupled dielectric-loss 125-case risk scan; by-ID selections; RUN006 source normalization; not final SCI result; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_004,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,SOLVED_VALID,1.200000,1500.00000,65.000000,25.000000,1.000000,67.5703239,63.6488494,67.5703239,59.7150752,51.1604613,41.3801804,45634515.2,45634515.2,45634515.2,13106429.4,48.9200654,2.25000000,28.0485376,2.54518841,11.0202205,79.2186030,VALID_STRICT,-1.57591619,false,true,false,false,safe,contact_safe,"RUN010 full field-coupled dielectric-loss 125-case risk scan; by-ID selections; RUN006 source normalization; not final SCI result; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_005,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,SOLVED_VALID,1.400000,1750.00000,65.000000,25.000000,1.000000,72.1048541,67.5679728,67.6578436,67.9015696,53.5831223,42.2753408,45634515.2,45634515.2,45634515.2,13106429.4,67.8831744,3.06250000,28.0485376,2.54518841,11.0202205,98.9942120,VALID_STRICT,-1.55666986,false,true,false,false,safe,contact_safe,"RUN010 full field-coupled dielectric-loss 125-case risk scan; by-ID selections; RUN006 source normalization; not final SCI result; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_006,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,SOLVED_VALID,0.600000,750.000000,75.000000,25.000000,1.000000,77.9408825,63.7458788,77.9408825,46.5863819,50.4142663,42.7305343,45634515.2,45634515.2,45634515.2,13106429.4,11.9414134,0.562500000,28.0485376,2.54518841,11.0202205,40.5524509,VALID_STRICT,-1.92439436,false,true,false,false,safe,contact_safe,"RUN010 full field-coupled dielectric-loss 125-case risk scan; by-ID selections; RUN006 source normalization; not final SCI result; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_007,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,SOLVED_VALID,0.800000,1000.00000,75.000000,25.000000,1.000000,77.9852911,65.3983731,77.9852911,50.6103255,51.6144365,43.1827824,45634515.2,45634515.2,45634515.2,13106429.4,21.4397723,1.00000000,28.0485376,2.54518841,11.0202205,50.4883099,VALID_STRICT,-1.83092058,false,true,false,false,safe,contact_safe,"RUN010 full field-coupled dielectric-loss 125-case risk scan; by-ID selections; RUN006 source normalization; not final SCI result; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_008,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,SOLVED_VALID,1.000000,1250.00000,75.000000,25.000000,1.000000,78.0435165,67.5619584,78.0435165,55.9280609,53.1964775,43.7763029,45634515.2,45634515.2,45634515.2,13106429.4,33.9330827,1.56250000,28.0485376,2.54518841,11.0202205,63.5441203,VALID_STRICT,-1.75391967,false,true,false,false,safe,contact_safe,"RUN010 full field-coupled dielectric-loss 125-case risk scan; by-ID selections; RUN006 source normalization; not final SCI result; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_009,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,SOLVED_VALID,1.200000,1500.00000,75.000000,25.000000,1.000000,78.1164748,70.2681750,78.1164748,62.6495176,55.1929444,44.5208979,45634515.2,45634515.2,45634515.2,13106429.4,49.6503094,2.25000000,28.0485376,2.54518841,11.0202205,79.9488469,VALID_STRICT,-1.69456147,false,true,false,false,safe,contact_safe,"RUN010 full field-coupled dielectric-loss 125-case risk scan; by-ID selections; RUN006 source normalization; not final SCI result; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_010,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,SOLVED_VALID,1.400000,1750.00000,75.000000,25.000000,1.000000,78.2053709,73.5584190,78.2053709,70.9256730,57.6424016,45.4294764,45634515.2,45634515.2,45634515.2,13106429.4,68.8935083,3.06250000,28.0485376,2.54518841,11.0202205,100.004546,VALID_STRICT,-1.65051351,false,true,false,false,safe,contact_safe,"RUN010 full field-coupled dielectric-loss 125-case risk scan; by-ID selections; RUN006 source normalization; not final SCI result; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_011,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,SOLVED_VALID,0.600000,750.000000,85.000000,25.000000,1.000000,88.4842933,70.2557154,88.4842933,49.3587908,54.3988495,45.8446231,45634515.2,45634515.2,45634515.2,13106429.4,12.1180795,0.562500000,28.0485376,2.54518841,11.0202205,40.7291171,VALID_STRICT,-2.16193844,false,true,false,false,safe,contact_safe,"RUN010 full field-coupled dielectric-loss 125-case risk scan; by-ID selections; RUN006 source normalization; not final SCI result; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_012,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,SOLVED_VALID,0.800000,1000.00000,85.000000,25.000000,1.000000,88.5293976,71.9360699,88.5293976,53.4147425,55.6130493,46.3036216,45634515.2,45634515.2,45634515.2,13106429.4,21.7564842,1.00000000,28.0485376,2.54518841,11.0202205,50.8050217,VALID_STRICT,-2.01969268,false,true,false,false,safe,contact_safe,"RUN010 full field-coupled dielectric-loss 125-case risk scan; by-ID selections; RUN006 source normalization; not final SCI result; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_013,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,SOLVED_VALID,1.000000,1250.00000,85.000000,25.000000,1.000000,88.5885323,74.1360087,88.5885323,58.7898495,57.2147289,46.9059764,45634515.2,45634515.2,45634515.2,13106429.4,34.4333696,1.56250000,28.0485376,2.54518841,11.0202205,64.0444071,VALID_STRICT,-1.90223202,false,true,false,false,safe,contact_safe,"RUN010 full field-coupled dielectric-loss 125-case risk scan; by-ID selections; RUN006 source normalization; not final SCI result; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_014,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,SOLVED_VALID,1.200000,1500.00000,85.000000,25.000000,1.000000,88.6626256,76.8875006,88.6626256,65.5839599,59.2318901,47.6616154,45634515.2,45634515.2,45634515.2,13106429.4,50.3805533,2.25000000,28.0485376,2.54518841,11.0202205,80.6790908,VALID_STRICT,-1.81105898,false,true,false,false,safe,contact_safe,"RUN010 full field-coupled dielectric-loss 125-case risk scan; by-ID selections; RUN006 source normalization; not final SCI result; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_015,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,SOLVED_VALID,1.400000,1750.00000,85.000000,25.000000,1.000000,88.7528981,80.2325005,88.7528981,73.9497763,61.7075668,48.5836121,45634515.2,45634515.2,45634515.2,13106429.4,69.9038421,3.06250000,28.0485376,2.54518841,11.0202205,101.014880,VALID_STRICT,-1.74247994,false,true,false,false,safe,contact_safe,"RUN010 full field-coupled dielectric-loss 125-case risk scan; by-ID selections; RUN006 source normalization; not final SCI result; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_016,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,SOLVED_VALID,0.600000,750.000000,95.000000,25.000000,1.000000,99.0277040,76.7655520,99.0277040,52.1311996,58.3834327,48.9587120,45634515.2,45634515.2,45634515.2,13106429.4,12.2947457,0.562500000,28.0485376,2.54518841,11.0202205,40.9057832,VALID_STRICT,-2.39743068,false,true,false,false,safe,contact_safe,"RUN010 full field-coupled dielectric-loss 125-case risk scan; by-ID selections; RUN006 source normalization; not final SCI result; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_017,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,SOLVED_VALID,0.800000,1000.00000,95.000000,25.000000,1.000000,99.0735040,78.4737666,99.0735040,56.2191595,59.6150034,49.4244608,45634515.2,45634515.2,45634515.2,13106429.4,22.0731960,1.00000000,28.0485376,2.54518841,11.0202205,51.1217336,VALID_STRICT,-2.20612580,false,true,false,false,safe,contact_safe,"RUN010 full field-coupled dielectric-loss 125-case risk scan; by-ID selections; RUN006 source normalization; not final SCI result; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_018,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,SOLVED_VALID,1.000000,1250.00000,95.000000,25.000000,1.000000,99.1335482,80.7100589,99.1335482,61.6516382,61.2329802,50.0356500,45634515.2,45634515.2,45634515.2,13106429.4,34.9336564,1.56250000,28.0485376,2.54518841,11.0202205,64.5446940,VALID_STRICT,-2.04824523,false,true,false,false,safe,contact_safe,"RUN010 full field-coupled dielectric-loss 125-case risk scan; by-ID selections; RUN006 source normalization; not final SCI result; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_019,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,SOLVED_VALID,1.200000,1500.00000,95.000000,25.000000,1.000000,99.2087765,83.5068261,99.2087765,68.5184023,63.2763793,50.8023328,45634515.2,45634515.2,45634515.2,13106429.4,51.1107972,2.25000000,28.0485376,2.54518841,11.0202205,81.4093348,VALID_STRICT,-1.92546651,false,true,false,false,safe,contact_safe,"RUN010 full field-coupled dielectric-loss 125-case risk scan; by-ID selections; RUN006 source normalization; not final SCI result; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_020,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,SOLVED_VALID,1.400000,1750.00000,95.000000,25.000000,1.000000,99.3004253,86.9065820,99.3004253,76.9738797,65.7806026,51.7377477,45634515.2,45634515.2,45634515.2,13106429.4,70.9141760,3.06250000,28.0485376,2.54518841,11.0202205,102.025214,VALID_STRICT,-1.83262493,false,true,false,false,safe,contact_safe,"RUN010 full field-coupled dielectric-loss 125-case risk scan; by-ID selections; RUN006 source normalization; not final SCI result; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_021,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,SOLVED_VALID,0.600000,750.000000,105.000000,25.000000,1.000000,109.571115,83.2753886,109.571115,54.9036085,62.3716610,52.0728009,45634515.2,45634515.2,45634515.2,13106429.4,12.4714118,0.562500000,28.0485376,2.54518841,11.0202205,41.0824494,VALID_STRICT,-2.63089756,false,true,false,false,safe,contact_safe,"RUN010 full field-coupled dielectric-loss 125-case risk scan; by-ID selections; RUN006 source normalization; not final SCI result; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_022,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,SOLVED_VALID,0.800000,1000.00000,105.000000,25.000000,1.000000,109.617611,85.0114634,109.617611,59.0235765,63.6169576,52.5453000,45634515.2,45634515.2,45634515.2,13106429.4,22.3899079,1.00000000,28.0485376,2.54518841,11.0202205,51.4384454,VALID_STRICT,-2.39026314,false,true,false,false,safe,contact_safe,"RUN010 full field-coupled dielectric-loss 125-case risk scan; by-ID selections; RUN006 source normalization; not final SCI result; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_023,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,SOLVED_VALID,1.000000,1250.00000,105.000000,25.000000,1.000000,109.678564,87.2841092,109.678564,64.5134268,65.2567523,53.1653235,45634515.2,45634515.2,45634515.2,13106429.4,35.4339432,1.56250000,28.0485376,2.54518841,11.0202205,65.0449808,VALID_STRICT,-2.19201234,false,true,false,false,safe,contact_safe,"RUN010 full field-coupled dielectric-loss 125-case risk scan; by-ID selections; RUN006 source normalization; not final SCI result; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_024,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,SOLVED_VALID,1.200000,1500.00000,105.000000,25.000000,1.000000,109.754927,90.1261517,109.754927,71.4528447,67.3232667,53.9430503,45634515.2,45634515.2,45634515.2,13106429.4,51.8410411,2.25000000,28.0485376,2.54518841,11.0202205,82.1395787,VALID_STRICT,-2.03783982,false,true,false,false,safe,contact_safe,"RUN010 full field-coupled dielectric-loss 125-case risk scan; by-ID selections; RUN006 source normalization; not final SCI result; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_025,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,SOLVED_VALID,1.400000,1750.00000,105.000000,25.000000,1.000000,109.847953,93.5806635,109.847953,79.9979830,69.8545583,54.8918833,45634515.2,45634515.2,45634515.2,13106429.4,71.9245098,3.06250000,28.0485376,2.54518841,11.0202205,103.035547,VALID_STRICT,-1.92100205,false,true,false,false,safe,contact_safe,"RUN010 full field-coupled dielectric-loss 125-case risk scan; by-ID selections; RUN006 source normalization; not final SCI result; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_026,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,SOLVED_VALID,0.600000,750.000000,65.000000,25.000000,2.000000,67.3991300,57.2844390,67.3991300,44.2778143,46.4883024,39.6360459,45634515.2,45634515.2,45634515.2,13106429.4,11.7739133,1.12500000,28.0485376,2.54518841,11.0202205,40.9474509,VALID_STRICT,-1.70110532,false,true,false,false,safe,contact_safe,"RUN010 full field-coupled dielectric-loss 125-case risk scan; by-ID selections; RUN006 source normalization; not final SCI result; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_027,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,SOLVED_VALID,0.800000,1000.00000,65.000000,25.000000,2.000000,67.4441788,58.9481754,67.4441788,48.6250313,47.7210906,40.0973075,45634515.2,45634515.2,45634515.2,13106429.4,21.1523695,2.00000000,28.0485376,2.54518841,11.0202205,51.2009071,VALID_STRICT,-1.66400222,false,true,false,false,safe,contact_safe,"RUN010 full field-coupled dielectric-loss 125-case risk scan; by-ID selections; RUN006 source normalization; not final SCI result; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
RUN010_CASE_028,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,SOLVED_VALID,1.000000,1250.00000,65.000000,25.000000,2.000000,67.5032743,61.1276450,67.5032743,54.3621000,49.3488279,40.7029579,45634515.2,45634515.2,45634515.2,13106429.4,33.5054455,3.12500000,28.0485376,2.54518841,11.0202205,64.6789830,VALID_STRICT,-1.63435139,false,true,false,false,safe,contact_safe,"RUN010 full field-coupled dielectric-loss 125-case risk scan; by-ID selections; RUN006 source normalization; not final SCI result; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside [0.1,10]; review flag is not model failure"
