case_id,status,valid_temperature,valid_heat_balance,valid_Qjoule,valid_Qcontact,valid_Qdielectric,valid_selection,field_singularity_flag,dielectric_loss_review_required,thermal_warning,thermal_risk,overall_valid,failure_reason
RUN010_CASE_001,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_002,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_003,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_004,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_005,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_006,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_007,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_008,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_009,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_010,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_011,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_012,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_013,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_014,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_015,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_016,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_017,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_018,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_019,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_020,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_021,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_022,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_023,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_024,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_025,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_026,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_027,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_028,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_029,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_030,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_031,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_032,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_033,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_034,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_035,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_036,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_037,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_038,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_039,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_040,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_041,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_042,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_043,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_044,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_045,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_046,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_047,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_048,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_049,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_050,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_051,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_052,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_053,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_054,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_055,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_056,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_057,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_058,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_059,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_060,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_061,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_062,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_063,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_064,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_065,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_066,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_067,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
