case_id,load_multiplier_pu,current_A,oil_temperature_C,air_temperature_C,contact_resistance_multiplier_pu,voltage_multiplier_pu,tan_delta_multiplier_pu,source_model,notes
RUN009B_CASE_001,0.800000,1000.00000,75.000000,25.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss; not final SCI result"
RUN009B_CASE_002,1.000000,1250.00000,75.000000,25.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss; not final SCI result"
RUN009B_CASE_003,1.200000,1500.00000,75.000000,25.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss; not final SCI result"
RUN009B_CASE_004,0.800000,1000.00000,85.000000,25.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss; not final SCI result"
RUN009B_CASE_005,1.000000,1250.00000,85.000000,25.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss; not final SCI result"
RUN009B_CASE_006,1.200000,1500.00000,85.000000,25.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss; not final SCI result"
RUN009B_CASE_007,0.800000,1000.00000,95.000000,25.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss; not final SCI result"
RUN009B_CASE_008,1.000000,1250.00000,95.000000,25.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss; not final SCI result"
RUN009B_CASE_009,1.200000,1500.00000,95.000000,25.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss; not final SCI result"
RUN009B_CASE_010,0.800000,1000.00000,75.000000,25.000000,5.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss; not final SCI result"
RUN009B_CASE_011,1.000000,1250.00000,75.000000,25.000000,5.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss; not final SCI result"
RUN009B_CASE_012,1.200000,1500.00000,75.000000,25.000000,5.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss; not final SCI result"
RUN009B_CASE_013,0.800000,1000.00000,85.000000,25.000000,5.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss; not final SCI result"
RUN009B_CASE_014,1.000000,1250.00000,85.000000,25.000000,5.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss; not final SCI result"
RUN009B_CASE_015,1.200000,1500.00000,85.000000,25.000000,5.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss; not final SCI result"
RUN009B_CASE_016,0.800000,1000.00000,95.000000,25.000000,5.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss; not final SCI result"
RUN009B_CASE_017,1.000000,1250.00000,95.000000,25.000000,5.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss; not final SCI result"
RUN009B_CASE_018,1.200000,1500.00000,95.000000,25.000000,5.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss; not final SCI result"
RUN009B_CASE_019,0.800000,1000.00000,75.000000,25.000000,20.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss; not final SCI result"
RUN009B_CASE_020,1.000000,1250.00000,75.000000,25.000000,20.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss; not final SCI result"
RUN009B_CASE_021,1.200000,1500.00000,75.000000,25.000000,20.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss; not final SCI result"
RUN009B_CASE_022,0.800000,1000.00000,85.000000,25.000000,20.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss; not final SCI result"
RUN009B_CASE_023,1.000000,1250.00000,85.000000,25.000000,20.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss; not final SCI result"
RUN009B_CASE_024,1.200000,1500.00000,85.000000,25.000000,20.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss; not final SCI result"
RUN009B_CASE_025,0.800000,1000.00000,95.000000,25.000000,20.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss; not final SCI result"
RUN009B_CASE_026,1.000000,1250.00000,95.000000,25.000000,20.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss; not final SCI result"
RUN009B_CASE_027,1.200000,1500.00000,95.000000,25.000000,20.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss; not final SCI result"
