case_id,run_id,Qtotal_generated_W,Qremoved_air_W,Qremoved_oil_W,Qremoved_flange_W,Qremoved_total_W,residual_W,residual_percent_Qgenerated,residual_percent_max_energy_scale,heat_balance_status,notes
RUN009B_CASE_001,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,50.4883099,48.2775944,-50.9489865,54.0841028,51.4127107,-0.924400858,-1.83092058,-0.602959191,VALID_STRICT,"RUN008B heat-balance classification retained"
RUN009B_CASE_002,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,63.5441203,53.9779416,-45.5199504,56.2006419,64.6586331,-1.11451283,-1.75391967,-0.715814592,VALID_STRICT,"RUN008B heat-balance classification retained"
RUN009B_CASE_003,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,79.9488469,61.1646252,-38.7171032,58.8561072,81.3036293,-1.35478235,-1.69456147,-0.853471604,VALID_STRICT,"RUN008B heat-balance classification retained"
RUN009B_CASE_004,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,50.8050217,54.6967723,-65.9328067,63.0671614,51.8311270,-1.02610531,-2.01969268,-0.558586562,VALID_STRICT,"RUN008B heat-balance classification retained"
RUN009B_CASE_005,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,64.0444071,60.4664997,-60.4189353,65.2151159,65.2626803,-1.21827322,-1.90223202,-0.654631711,VALID_STRICT,"RUN008B heat-balance classification retained"
RUN009B_CASE_006,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,80.6790908,67.7405810,-53.5102019,67.9098577,82.1402368,-1.46114592,-1.81105898,-0.772436545,VALID_STRICT,"RUN008B heat-balance classification retained"
RUN009B_CASE_007,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,51.1217336,61.1159503,-80.9166268,72.0502199,52.2495433,-1.12780975,-2.20612580,-0.526810080,VALID_STRICT,"RUN008B heat-balance classification retained"
RUN009B_CASE_008,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,64.5446940,66.9550579,-75.3179201,74.2295898,65.8667276,-1.32203361,-2.04824523,-0.610631840,VALID_STRICT,"RUN008B heat-balance classification retained"
RUN009B_CASE_009,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,81.4093348,74.3165368,-68.3033006,76.9636081,82.9768442,-1.56750948,-1.92546651,-0.713855945,VALID_STRICT,"RUN008B heat-balance classification retained"
RUN009B_CASE_010,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,54.6055461,50.8805917,-49.8260389,54.5925454,55.6470982,-1.04155214,-1.90741090,-0.670674607,VALID_STRICT,"RUN008B heat-balance classification retained"
RUN009B_CASE_011,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,70.0847187,58.1038053,-43.7297111,57.0104551,71.3845493,-1.29983054,-1.85465615,-0.818306500,VALID_STRICT,"RUN008B heat-balance classification retained"
RUN009B_CASE_012,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,89.5628975,67.2125946,-36.0741847,60.0502509,91.1886608,-1.62576329,-1.81521962,-0.995342751,VALID_STRICT,"RUN008B heat-balance classification retained"
RUN009B_CASE_013,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,54.9222579,57.2997696,-64.8098590,63.5756040,56.0655145,-1.14325659,-2.08159065,-0.615696019,VALID_STRICT,"RUN008B heat-balance classification retained"
RUN009B_CASE_014,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,70.5850056,64.5923635,-58.6286960,66.0249290,71.9885965,-1.40359094,-1.98851148,-0.741675398,VALID_STRICT,"RUN008B heat-balance classification retained"
RUN009B_CASE_015,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,90.2931414,73.7885503,-50.8672834,69.1040013,92.0252682,-1.73212685,-1.91833713,-0.893955578,VALID_STRICT,"RUN008B heat-balance classification retained"
RUN009B_CASE_016,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,55.2389698,63.7189475,-79.7936792,72.5586625,56.4839308,-1.24496103,-2.25377309,-0.576180685,VALID_STRICT,"RUN008B heat-balance classification retained"
RUN009B_CASE_017,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,71.0852924,71.0809217,-73.5276809,75.0394029,72.5926437,-1.50735133,-2.12048271,-0.686257692,VALID_STRICT,"RUN008B heat-balance classification retained"
RUN009B_CASE_018,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,91.0233853,80.3645061,-65.6603821,78.1577517,92.8618757,-1.83849042,-2.01980009,-0.820085987,VALID_STRICT,"RUN008B heat-balance classification retained"
RUN009B_CASE_019,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,70.0451818,60.6418312,-45.6149852,56.4992052,71.5260512,-1.48086943,-2.11416317,-0.909870750,VALID_STRICT,"RUN008B heat-balance classification retained"
RUN009B_CASE_020,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,94.6119629,73.5757945,-37.0163140,60.0472543,96.6067349,-1.99477199,-2.10837184,-1.16899873,VALID_STRICT,"RUN008B heat-balance classification retained"
RUN009B_CASE_021,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,125.615587,89.8924796,-26.1632403,64.5282895,128.257529,-2.64194180,-2.10319584,-1.46299875,VALID_STRICT,"RUN008B heat-balance classification retained"
