case_id,run_id,Qjoule_conductor_W,Qcontact_W,Qdielectric_RIP_field_W,Qscreen_loss_W,Qtotal_W,Qjoule_expected_I2R_W,Qcontact_expected_I2Rc_W,Qjoule_relative_error_pct,Qcontact_relative_error_pct,status,notes
RUN009B_CASE_001,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,21.4397723,1.00000000,28.0485376,0.00000000,50.4883099,21.4397723,1.00000000,-1.15994682e-13,-6.66133815e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor"
RUN009B_CASE_002,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,33.9330827,1.56250000,28.0485376,0.00000000,63.5441203,33.9330827,1.56250000,1.67516224e-13,-8.52651283e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor"
RUN009B_CASE_003,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,49.6503094,2.25000000,28.0485376,0.00000000,79.9488469,49.6503094,2.25000000,1.71731313e-13,-3.94745964e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor"
RUN009B_CASE_004,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,21.7564842,1.00000000,28.0485376,0.00000000,50.8050217,21.7564842,1.00000000,9.79766855e-14,-6.66133815e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor"
RUN009B_CASE_005,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,34.4333696,1.56250000,28.0485376,0.00000000,64.0444071,34.4333696,1.56250000,2.06352949e-14,-8.52651283e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor"
RUN009B_CASE_006,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,50.3805533,2.25000000,28.0485376,0.00000000,80.6790908,50.3805533,2.25000000,-3.80794823e-13,-3.94745964e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor"
RUN009B_CASE_007,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,22.0731960,1.00000000,28.0485376,0.00000000,51.1217336,22.0731960,1.00000000,-2.09236931e-13,-6.66133815e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor"
RUN009B_CASE_008,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,34.9336564,1.56250000,28.0485376,0.00000000,64.5446940,34.9336564,1.56250000,-8.13591028e-14,-8.52651283e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor"
RUN009B_CASE_009,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,51.1107972,2.25000000,28.0485376,0.00000000,81.4093348,51.1107972,2.25000000,-2.08530127e-13,-3.94745964e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor"
RUN009B_CASE_010,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,21.5570085,5.00000000,28.0485376,0.00000000,54.6055461,21.5570085,5.00000000,1.31844404e-13,-7.10542736e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor"
RUN009B_CASE_011,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,34.2236812,7.81250000,28.0485376,0.00000000,70.0847187,34.2236812,7.81250000,5.60566637e-13,-7.95807864e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor"
RUN009B_CASE_012,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,50.2643599,11.2500000,28.0485376,0.00000000,89.5628975,50.2643599,11.2500000,-7.06805714e-14,-6.31593543e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor"
RUN009B_CASE_013,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,21.8737204,5.00000000,28.0485376,0.00000000,54.9222579,21.8737204,5.00000000,9.74515616e-14,-7.10542736e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor"
RUN009B_CASE_014,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,34.7239680,7.81250000,28.0485376,0.00000000,70.5850056,34.7239680,7.81250000,8.18504079e-14,-7.95807864e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor"
RUN009B_CASE_015,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,50.9946038,11.2500000,28.0485376,0.00000000,90.2931414,50.9946038,11.2500000,-5.57347392e-14,-6.31593543e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor"
RUN009B_CASE_016,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,22.1904322,5.00000000,28.0485376,0.00000000,55.2389698,22.1904322,5.00000000,-9.60606890e-14,-7.10542736e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor"
RUN009B_CASE_017,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,35.2242548,7.81250000,28.0485376,0.00000000,71.0852924,35.2242548,7.81250000,2.01719735e-13,-7.95807864e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor"
RUN009B_CASE_018,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,51.7248478,11.2500000,28.0485376,0.00000000,91.0233853,51.7248478,11.2500000,8.24218263e-14,-6.31593543e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor"
