case_id,run_id,status,load_multiplier_pu,current_A,oil_temperature_C,air_temperature_C,contact_resistance_multiplier_pu,Tmax_global_C,Tmax_conductor_C,Tmax_RIP_C,Tmax_contact_C,Tmax_silicone_C,Tmax_flange_C,Emax_RIP_probe_excluding_edges_V_per_m,Qdielectric_RIP_field_W,heat_balance_status,thermal_warning,note
RUN009B_CASE_001,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,0.800000,1000.00000,75.000000,25.000000,1.000000,77.9852911,65.3983731,77.9852911,50.6103255,51.6144365,43.1827824,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_002,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,1.000000,1250.00000,75.000000,25.000000,1.000000,78.0435165,67.5619584,78.0435165,55.9280609,53.1964775,43.7763029,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_003,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,1.200000,1500.00000,75.000000,25.000000,1.000000,78.1164748,70.2681750,78.1164748,62.6495176,55.1929444,44.5208979,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_004,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,0.800000,1000.00000,85.000000,25.000000,1.000000,88.5293976,71.9360699,88.5293976,53.4147425,55.6130493,46.3036216,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_005,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,1.000000,1250.00000,85.000000,25.000000,1.000000,88.5885323,74.1360087,88.5885323,58.7898495,57.2147289,46.9059764,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_006,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,1.200000,1500.00000,85.000000,25.000000,1.000000,88.6626256,76.8875006,88.6626256,65.5839599,59.2318901,47.6616154,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_007,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,0.800000,1000.00000,95.000000,25.000000,1.000000,99.0735040,78.4737666,99.0735040,56.2191595,59.6150034,49.4244608,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_008,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,1.000000,1250.00000,95.000000,25.000000,1.000000,99.1335482,80.7100589,99.1335482,61.6516382,61.2329802,50.0356500,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_009,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,1.200000,1500.00000,95.000000,25.000000,1.000000,99.2087765,83.5068261,99.2087765,68.5184023,63.2763793,50.8023328,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_010,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,0.800000,1000.00000,75.000000,25.000000,5.000000,77.9972676,65.7483696,77.9972676,53.8868165,52.0225210,43.3242396,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
