case_id,status,valid_temperature,valid_heat_balance,valid_Qjoule,valid_Qcontact,valid_Qdielectric,valid_selection,field_singularity_flag,overall_valid,failure_reason
RUN009B_CASE_001,SOLVED_VALID,true,true,true,true,true,true,false,true,""
RUN009B_CASE_002,SOLVED_VALID,true,true,true,true,true,true,false,true,""
RUN009B_CASE_003,SOLVED_VALID,true,true,true,true,true,true,false,true,""
RUN009B_CASE_004,SOLVED_VALID,true,true,true,true,true,true,false,true,""
RUN009B_CASE_005,SOLVED_VALID,true,true,true,true,true,true,false,true,""
RUN009B_CASE_006,SOLVED_VALID,true,true,true,true,true,true,false,true,""
RUN009B_CASE_007,SOLVED_VALID,true,true,true,true,true,true,false,true,""
RUN009B_CASE_008,SOLVED_VALID,true,true,true,true,true,true,false,true,""
RUN009B_CASE_009,SOLVED_VALID,true,true,true,true,true,true,false,true,""
RUN009B_CASE_010,SOLVED_VALID,true,true,true,true,true,true,false,true,""
RUN009B_CASE_011,SOLVED_VALID,true,true,true,true,true,true,false,true,""
RUN009B_CASE_012,SOLVED_VALID,true,true,true,true,true,true,false,true,""
RUN009B_CASE_013,SOLVED_VALID,true,true,true,true,true,true,false,true,""
RUN009B_CASE_014,SOLVED_VALID,true,true,true,true,true,true,false,true,""
RUN009B_CASE_015,SOLVED_VALID,true,true,true,true,true,true,false,true,""
RUN009B_CASE_016,SOLVED_VALID,true,true,true,true,true,true,false,true,""
RUN009B_CASE_017,SOLVED_VALID,true,true,true,true,true,true,false,true,""
RUN009B_CASE_018,SOLVED_VALID,true,true,true,true,true,true,false,true,""
RUN009B_CASE_019,SOLVED_VALID,true,true,true,true,true,true,false,true,""
RUN009B_CASE_020,SOLVED_VALID,true,true,true,true,true,true,false,true,""
RUN009B_CASE_021,SOLVED_VALID,true,true,true,true,true,true,false,true,""
RUN009B_CASE_022,SOLVED_VALID,true,true,true,true,true,true,false,true,""
RUN009B_CASE_023,SOLVED_VALID,true,true,true,true,true,true,false,true,""
RUN009B_CASE_024,SOLVED_VALID,true,true,true,true,true,true,false,true,""
RUN009B_CASE_025,SOLVED_VALID,true,true,true,true,true,true,false,true,""
RUN009B_CASE_026,SOLVED_VALID,true,true,true,true,true,true,false,true,""
RUN009B_CASE_027,SOLVED_VALID,true,true,true,true,true,true,false,true,""
