sensitivity_case_id,base_case,parameter_name,parameter_value,parameter_multiplier,baseline_value,Tmax_global_baseline_C,Tmax_global_delta_C,S_Tmax_global,Tmax_contact_baseline_C,Tmax_contact_delta_C,S_Tmax_contact,Qdielectric_baseline_W,Qdielectric_delta_W,S_Qdielectric,heat_balance_status,field_singularity_flag,dielectric_loss_review_required,status,notes
RUN011B_CASE_017,SENS_BASELINE,Rc0_multiplier,0.5,0.5,1.0,88.5885323,-0.0023867999999964695,5.388507830593034e-05,58.7898495,-0.647913900000006,0.022041692758543497,28.0485376,0.0,-0.0,VALID_STRICT,False,True,SOLVED_VALID,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
RUN011B_CASE_018,SENS_BASELINE,Rc0_multiplier,1.0,1.0,1.0,88.5885323,0.0,,58.7898495,0.0,,28.0485376,0.0,,VALID_STRICT,False,True,SOLVED_VALID,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
RUN011B_CASE_019,SENS_BASELINE,Rc0_multiplier,2.0,2.0,1.0,88.5885323,0.004773700000001213,5.38862071203003e-05,58.7898495,1.2958277999999979,0.022041692758543254,28.0485376,0.0,0.0,VALID_STRICT,False,True,SOLVED_VALID,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
RUN011B_CASE_008,SENS_BASELINE,epsr_RIP,3.5,0.833333333,4.2,88.5885323,-0.029070199999992496,0.001968891406951946,58.7898495,-0.5275958000000003,0.053845601356744426,28.0485376,-4.674604800000001,0.9999675990237722,VALID_STRICT,False,True,SOLVED_VALID,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
RUN011B_CASE_009,SENS_BASELINE,epsr_RIP,4.2,1.0,4.2,88.5885323,0.0,,58.7898495,0.0,,28.0485376,0.0,,VALID_STRICT,False,True,SOLVED_VALID,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
RUN011B_CASE_010,SENS_BASELINE,epsr_RIP,4.5,1.07142857,4.2,88.5885323,0.01245869999999627,0.001968898179837526,58.7898495,0.2261126999999945,0.05384565238596035,28.0485376,2.003404800000002,0.9999689680791075,VALID_STRICT,False,True,SOLVED_VALID,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
RUN011B_CASE_014,SENS_BASELINE,h_air,5.0,0.25,20.0,88.5885323,0.042886699999996836,-0.0006454815897955953,58.7898495,9.290743599999999,-0.2107108325448823,28.0485376,0.0,-0.0,VALID_STRICT,False,True,SOLVED_VALID,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
RUN011B_CASE_015,SENS_BASELINE,h_air,10.0,0.5,20.0,88.5885323,0.01989460000000065,-0.00044914617013020884,58.7898495,4.934899799999997,-0.16788271587597775,28.0485376,0.0,-0.0,VALID_STRICT,False,True,SOLVED_VALID,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
RUN011B_CASE_016,SENS_BASELINE,h_air,20.0,1.0,20.0,88.5885323,0.0,,58.7898495,0.0,,28.0485376,0.0,,VALID_STRICT,False,True,SOLVED_VALID,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
RUN011B_CASE_011,SENS_BASELINE,h_oil,100.0,0.333333333,300.0,88.5885323,-3.279738699999996,0.05553323801934117,58.7898495,-0.8816526000000025,0.022495021015490158,28.0485376,0.0,-0.0,VALID_STRICT,False,True,SOLVED_VALID,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
