sensitivity_case_id,base_case,parameter_name,parameter_value,parameter_multiplier,Tmax_global_C,Tmax_conductor_C,Tmax_RIP_C,Tmax_contact_C,E95_RIP_V_per_m,Qjoule_conductor_W,Qcontact_W,Qdielectric_RIP_field_W,Qtotal_W,risk_zone,contact_risk_zone,heat_balance_status,field_singularity_flag,dielectric_loss_review_required,status
RUN011B_CASE_001,SENS_BASELINE,k_RIP_multiplier,0.800000000,0.800000000,89.2184721,74.1293043,89.2184721,60.6900042,13106429.4,34.5861957,1.56250000,28.0485376,64.1972333,safe,contact_safe,VALID_STRICT,false,true,SOLVED_VALID
RUN011B_CASE_002,SENS_BASELINE,k_RIP_multiplier,1.00000000,1.00000000,88.5885323,74.1360087,88.5885323,58.7898495,13106429.4,34.4333696,1.56250000,28.0485376,64.0444072,safe,contact_safe,VALID_STRICT,false,true,SOLVED_VALID
RUN011B_CASE_003,SENS_BASELINE,k_RIP_multiplier,1.20000000,1.20000000,88.0242353,74.4341881,88.0242353,57.4485934,13106429.4,34.3357529,1.56250000,28.0485376,63.9467905,safe,contact_safe,VALID_STRICT,false,true,SOLVED_VALID
RUN011B_CASE_004,SENS_BASELINE,tan_delta_multiplier,0.500000000,0.500000000,88.5013207,71.9513972,88.5013207,57.2069474,13106429.4,34.1998192,1.56250000,14.0242688,49.7865880,safe,contact_safe,VALID_STRICT,false,true,SOLVED_VALID
RUN011B_CASE_005,SENS_BASELINE,tan_delta_multiplier,1.00000000,1.00000000,88.5885323,74.1360087,88.5885323,58.7898495,13106429.4,34.4333696,1.56250000,28.0485376,64.0444072,safe,contact_safe,VALID_STRICT,false,true,SOLVED_VALID
RUN011B_CASE_006,SENS_BASELINE,tan_delta_multiplier,2.00000000,2.00000000,88.7629556,78.5052316,88.7629556,61.9556538,13106429.4,34.9004703,1.56250000,56.0970751,92.5600454,safe,contact_safe,VALID_STRICT,false,true,SOLVED_VALID
RUN011B_CASE_007,SENS_BASELINE,tan_delta_multiplier,5.00000000,5.00000000,91.9664115,91.6134673,91.9664115,71.4530668,13106429.4,36.3017725,1.56250000,140.242688,178.106960,safe,contact_safe,VALID_STRICT,false,true,SOLVED_VALID
RUN011B_CASE_008,SENS_BASELINE,epsr_RIP,3.50000000,0.833333333,88.5594621,73.4078325,88.5594621,58.2622537,13107003.0,34.3555238,1.56250000,23.3739328,59.2919566,safe,contact_safe,VALID_STRICT,false,true,SOLVED_VALID
RUN011B_CASE_009,SENS_BASELINE,epsr_RIP,4.20000000,1.00000000,88.5885323,74.1360087,88.5885323,58.7898495,13106429.4,34.4333696,1.56250000,28.0485376,64.0444072,safe,contact_safe,VALID_STRICT,false,true,SOLVED_VALID
RUN011B_CASE_010,SENS_BASELINE,epsr_RIP,4.50000000,1.07142857,88.6009910,74.4480846,88.6009910,59.0159622,13106238.2,34.4667321,1.56250000,30.0519424,66.0811745,safe,contact_safe,VALID_STRICT,false,true,SOLVED_VALID
