case_id,run_id,Qjoule_conductor_W,Qcontact_W,Qdielectric_RIP_W,Qscreen_loss_W,Qtotal_W,conductor_volume_m3,contact_volume_m3,rip_volume_m3,conductor_cross_section_area_m2,effective_conductor_resistance_ohm,Qjoule_expected_I2R_W,Qcontact_expected_I2Rc_W,Qjoule_relative_error_pct,Qcontact_relative_error_pct,status,notes
RUN008_CASE_001,SOLID_ONLY_RISK_125_RUN008,11.6163975,0.562500000,2.54518841,0.00000000,14.7240860,0.00432258016,7.84141526e-05,0.0118960804,0.00196035382,2.06513734e-05,11.6163975,0.562500000,-1.52918048e-13,-3.94745964e-14,SOLVED_VALID,"2*pi*r source normalization; Qdielectric_RIP_W uses approximate_Qdielectric_ref; contact expected=I^2*Rc0*Rc_factor"
RUN008_CASE_002,SOLID_ONLY_RISK_125_RUN008,20.8556035,1.00000000,2.54518841,0.00000000,24.4007919,0.00432258016,7.84141526e-05,0.0118960804,0.00196035382,2.08556035e-05,20.8556035,1.00000000,5.79183743e-13,-6.66133815e-14,SOLVED_VALID,"2*pi*r source normalization; Qdielectric_RIP_W uses approximate_Qdielectric_ref; contact expected=I^2*Rc0*Rc_factor"
RUN008_CASE_003,SOLID_ONLY_RISK_125_RUN008,33.0107023,1.56250000,2.54518841,0.00000000,37.1183907,0.00432258016,7.84141526e-05,0.0118960804,0.00196035382,2.11268495e-05,33.0107023,1.56250000,0.00000000,-8.52651283e-14,SOLVED_VALID,"2*pi*r source normalization; Qdielectric_RIP_W uses approximate_Qdielectric_ref; contact expected=I^2*Rc0*Rc_factor"
RUN008_CASE_004,SOLID_ONLY_RISK_125_RUN008,48.3097211,2.25000000,2.54518841,0.00000000,53.1049095,0.00432258016,7.84141526e-05,0.0118960804,0.00196035382,2.14709871e-05,48.3097211,2.25000000,1.61788765e-13,-3.94745964e-14,SOLVED_VALID,"2*pi*r source normalization; Qdielectric_RIP_W uses approximate_Qdielectric_ref; contact expected=I^2*Rc0*Rc_factor"
RUN008_CASE_005,SOLID_ONLY_RISK_125_RUN008,67.0335086,3.06250000,2.54518841,0.00000000,72.6411970,0.00432258016,7.84141526e-05,0.0118960804,0.00196035382,2.18884926e-05,67.0335086,3.06250000,-6.35988852e-14,-1.45008722e-14,SOLVED_VALID,"2*pi*r source normalization; Qdielectric_RIP_W uses approximate_Qdielectric_ref; contact expected=I^2*Rc0*Rc_factor"
RUN008_CASE_006,SOLID_ONLY_RISK_125_RUN008,11.7938901,0.562500000,2.54518841,0.00000000,14.9015785,0.00432258016,7.84141526e-05,0.0118960804,0.00196035382,2.09669158e-05,11.7938901,0.562500000,-3.01233405e-13,-3.94745964e-14,SOLVED_VALID,"2*pi*r source normalization; Qdielectric_RIP_W uses approximate_Qdielectric_ref; contact expected=I^2*Rc0*Rc_factor"
RUN008_CASE_007,SOLID_ONLY_RISK_125_RUN008,21.1715812,1.00000000,2.54518841,0.00000000,24.7167696,0.00432258016,7.84141526e-05,0.0118960804,0.00196035382,2.11715812e-05,21.1715812,1.00000000,-2.85269824e-13,-6.66133815e-14,SOLVED_VALID,"2*pi*r source normalization; Qdielectric_RIP_W uses approximate_Qdielectric_ref; contact expected=I^2*Rc0*Rc_factor"
RUN008_CASE_008,SOLID_ONLY_RISK_125_RUN008,33.5094626,1.56250000,2.54518841,0.00000000,37.6171510,0.00432258016,7.84141526e-05,0.0118960804,0.00196035382,2.14460560e-05,33.5094626,1.56250000,1.48429690e-13,-8.52651283e-14,SOLVED_VALID,"2*pi*r source normalization; Qdielectric_RIP_W uses approximate_Qdielectric_ref; contact expected=I^2*Rc0*Rc_factor"
RUN008_CASE_009,SOLID_ONLY_RISK_125_RUN008,49.0398374,2.25000000,2.54518841,0.00000000,53.8350258,0.00432258016,7.84141526e-05,0.0118960804,0.00196035382,2.17954833e-05,49.0398374,2.25000000,7.24454620e-14,-3.94745964e-14,SOLVED_VALID,"2*pi*r source normalization; Qdielectric_RIP_W uses approximate_Qdielectric_ref; contact expected=I^2*Rc0*Rc_factor"
RUN008_CASE_010,SOLID_ONLY_RISK_125_RUN008,68.0460634,3.06250000,2.54518841,0.00000000,73.6537518,0.00432258016,7.84141526e-05,0.0118960804,0.00196035382,2.22191227e-05,68.0460634,3.06250000,2.08841688e-14,-1.45008722e-14,SOLVED_VALID,"2*pi*r source normalization; Qdielectric_RIP_W uses approximate_Qdielectric_ref; contact expected=I^2*Rc0*Rc_factor"
