oil_temperature_C,contact_resistance_multiplier_pu,max_safe_load_multiplier_pu,first_attention_load_multiplier_pu,first_warning_load_multiplier_pu,first_thermal_risk_load_multiplier_pu,Tmax_at_max_safe_load_C,Tmax_contact_at_max_safe_load_C,risk_zone_transition_note
65.000000,1.000000,1.400000,NA,NA,NA,69.3093328,65.1270501,"oil=65 C, Rc=1: safe up to load 1.4"
65.000000,2.000000,1.400000,NA,NA,NA,71.9720406,67.7534897,"oil=65 C, Rc=2: safe up to load 1.4"
65.000000,5.000000,1.400000,NA,NA,NA,79.9649033,75.6489218,"oil=65 C, Rc=5: safe up to load 1.4"
65.000000,10.000000,1.400000,NA,NA,NA,93.2776953,88.7816114,"oil=65 C, Rc=10: safe up to load 1.4"
65.000000,20.000000,1.200000,1.400000,NA,NA,96.3729731,93.0434244,"oil=65 C, Rc=20: safe up to load 1.2; first attention 1.4"
75.000000,1.000000,1.400000,NA,NA,NA,78.0536100,68.1603924,"oil=75 C, Rc=1: safe up to load 1.4"
75.000000,2.000000,1.400000,NA,NA,NA,78.0640247,70.7869412,"oil=75 C, Rc=2: safe up to load 1.4"
75.000000,5.000000,1.400000,NA,NA,NA,83.0321409,78.6660925,"oil=75 C, Rc=5: safe up to load 1.4"
75.000000,10.000000,1.400000,NA,NA,NA,96.3491735,91.8120930,"oil=75 C, Rc=10: safe up to load 1.4"
75.000000,20.000000,1.200000,1.400000,NA,NA,99.3370315,95.9734077,"oil=75 C, Rc=20: safe up to load 1.2; first attention 1.4"
85.000000,1.000000,1.400000,NA,NA,NA,88.6026057,71.1916086,"oil=85 C, Rc=1: safe up to load 1.4"
85.000000,2.000000,1.400000,NA,NA,NA,88.6128428,73.8184195,"oil=85 C, Rc=2: safe up to load 1.4"
85.000000,5.000000,1.400000,NA,NA,NA,88.6435141,81.6983511,"oil=85 C, Rc=5: safe up to load 1.4"
85.000000,10.000000,1.400000,NA,NA,NA,99.4159446,94.8296762,"oil=85 C, Rc=10: safe up to load 1.4"
85.000000,20.000000,1.200000,1.400000,NA,NA,102.305961,98.9143288,"oil=85 C, Rc=20: safe up to load 1.2; first attention 1.4"
95.000000,1.000000,1.400000,NA,NA,NA,99.1528780,74.2193240,"oil=95 C, Rc=1: safe up to load 1.4"
95.000000,2.000000,1.400000,NA,NA,NA,99.1629963,76.8465115,"oil=95 C, Rc=2: safe up to load 1.4"
95.000000,5.000000,1.400000,NA,NA,NA,99.1932419,84.7275755,"oil=95 C, Rc=5: safe up to load 1.4"
95.000000,10.000000,1.400000,NA,NA,NA,102.486968,97.8607119,"oil=95 C, Rc=10: safe up to load 1.4"
95.000000,20.000000,1.200000,1.400000,NA,NA,105.270427,101.850202,"oil=95 C, Rc=20: safe up to load 1.2; first attention 1.4"
105.000000,1.000000,1.400000,NA,NA,NA,109.704009,77.2428872,"oil=105 C, Rc=1: safe up to load 1.4"
105.000000,2.000000,1.400000,NA,NA,NA,109.714066,79.8705407,"oil=105 C, Rc=2: safe up to load 1.4"
105.000000,5.000000,1.400000,NA,NA,NA,109.744056,87.7529800,"oil=105 C, Rc=5: safe up to load 1.4"
105.000000,10.000000,1.400000,NA,NA,NA,109.793832,100.888359,"oil=105 C, Rc=10: safe up to load 1.4"
105.000000,20.000000,1.200000,NA,1.400000,NA,109.749327,104.781075,"oil=105 C, Rc=20: safe up to load 1.2; first warning 1.4"
