case_id,run_id,status,load_multiplier_pu,current_A,oil_temperature_C,air_temperature_C,contact_resistance_multiplier_pu,Tmax_global_C,Tmax_conductor_C,Tmax_RIP_C,Tmax_contact_C,Tmax_silicone_C,Tmax_flange_C,thermal_warning,thermal_risk,risk_zone,contact_risk_zone,note
RUN008_CASE_001,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,0.600000,750.000000,65.000000,25.000000,1.000000,67.2251971,53.2182908,67.2251971,41.2973053,42.6549302,38.1115797,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_002,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,0.800000,1000.00000,65.000000,25.000000,1.000000,67.2732242,54.7584548,67.2732242,45.2380739,43.7944399,38.5427041,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_003,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.000000,1250.00000,65.000000,25.000000,1.000000,67.3280197,56.8565120,67.3280197,50.4451354,45.3223324,39.1205651,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_004,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.200000,1500.00000,65.000000,25.000000,1.000000,67.4160446,59.5072540,67.4160446,57.0478280,47.2373777,39.8227461,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_005,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.400000,1750.00000,65.000000,25.000000,1.000000,69.3093328,64.7869901,67.5062877,65.1270501,49.6345333,40.7122802,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_006,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,0.600000,750.000000,75.000000,25.000000,1.000000,77.7889909,59.7171974,77.7889909,44.0723510,46.6181882,41.2077960,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_007,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,0.800000,1000.00000,75.000000,25.000000,1.000000,77.8152197,61.3198767,77.8152197,48.0301723,47.8211434,41.6750869,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_008,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.000000,1250.00000,75.000000,25.000000,1.000000,77.8737444,63.4242426,77.8737444,53.3007973,49.3550226,42.2545907,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_009,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.200000,1500.00000,75.000000,25.000000,1.000000,77.9647601,66.1173318,77.9647601,59.9862508,51.2784584,42.9617914,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_010,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.400000,1750.00000,75.000000,25.000000,1.000000,78.0536100,69.3831565,78.0536100,68.1603924,53.6998183,43.8653067,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
