case_id,Qremoved_air_W,Qremoved_oil_W,Qremoved_flange_W,air_boundary_count,oil_boundary_count,flange_boundary_count,air_boundary_total_length_m,oil_boundary_total_length_m,flange_boundary_total_length_m,boundary_selection_status,notes
RUN008_CASE_001,31.7415487,-54.7308821,38.2248855,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_002,35.9534059,-50.520043,39.7556981,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_003,41.5216026,-45.258281,41.7952553,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_004,48.5668524,-38.0551234,44.2751706,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_005,57.1845177,-29.8318725,47.432881,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_006,38.127336,-68.9862518,47.1162066,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_007,42.3775055,-65.5814862,48.7966324,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_008,48.0095636,-60.1434432,50.8444522,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_009,55.1432777,-52.7465284,53.3348912,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_010,63.8701823,-44.4990579,56.5391407,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_011,44.5027971,-83.9180998,56.09599,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_012,48.8147606,-79.7074843,57.703929,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_013,54.4974833,-75.0473736,59.9057206,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_014,61.7167057,-67.3976873,62.4005365,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_015,70.5555514,-59.1047792,65.6442819,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_016,50.8779322,-98.8461604,65.0750399,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_017,55.2415629,-94.5870733,66.7121415,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_018,60.9879653,-89.9875367,68.9738122,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_019,68.2671958,-83.0667186,71.635395,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_020,77.2390354,-73.664735,74.7509432,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_021,57.2528152,-113.772039,74.0537175,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_022,61.6687341,-109.461359,75.7181785,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_023,67.4915436,-103.753688,77.8748368,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_024,74.8417501,-97.8486181,80.7278105,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_025,83.9202484,-88.1949897,83.8610371,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_026,32.1030166,-54.5666425,38.2950767,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_027,36.6041003,-50.2326286,39.8829032,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_028,42.5526648,-44.8038271,41.9992544,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_029,50.0794197,-37.3801568,44.5735486,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_030,59.2881787,-28.8728563,47.8506534,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_031,38.4888388,-68.8253029,47.1862188,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_032,43.0278047,-65.2891221,48.9232641,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_033,49.0408003,-59.690826,51.0483752,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_034,56.65587,-52.0753442,53.6330919,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
RUN008_CASE_035,65.973498,-43.5482357,56.957067,110,1,3,1.15,0.595,0.298,OK_NO_SELECTION_DRIFT,boundary counts are explicit COMSOL ID counts; air/oil lengths from solid boundary summary tables; flange length estimated from BRFGL1 flange disk geometry
