case_id,run_id,load_multiplier_pu,current_A,oil_temperature_C,contact_resistance_multiplier_pu,Qtotal_generated_W,Qremoved_air_W,Qremoved_oil_W,Qremoved_flange_W,Qremoved_total_W,Qoil_heat_in_W,Qoil_heat_out_W,Qboundary_heat_out_net_W,residual_W,residual_percent_Qgenerated,residual_percent_abs_boundary_flux,residual_percent_max_energy_scale,energy_scale_Qgenerated_W,energy_scale_abs_boundary_flux_W,energy_scale_max_W,valid_by_Qgenerated_percent,valid_by_absolute_residual,valid_by_max_energy_scale,heat_balance_status,notes
RUN008_CASE_001,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,0.600000,750.000000,65.000000,1.000000,14.724086,31.7415487,-54.7308821,38.2248855,15.2355521,54.7308821,0,15.2355521,-0.5114661,-3.47366961,-0.410166085,-0.410166085,14.724086,124.697316,124.697316,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_002,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,0.800000,1000.00000,65.000000,1.000000,24.4007919,35.9534059,-50.520043,39.7556981,25.189061,50.520043,0,25.189061,-0.7882691,-3.23050622,-0.62447471,-0.62447471,24.4007919,126.229147,126.229147,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_003,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,1.000000,1250.00000,65.000000,1.000000,37.1183907,41.5216026,-45.258281,41.7952553,38.0585769,45.258281,0,38.0585769,-0.9401862,-2.53293902,-0.731234831,-0.731234831,37.1183907,128.575139,128.575139,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_004,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,1.200000,1500.00000,65.000000,1.000000,53.1049095,48.5668524,-38.0551234,44.2751706,54.7868996,38.0551234,0,54.7868996,-1.6819901,-3.1672968,-1.28497079,-1.28497079,53.1049095,130.897146,130.897146,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_005,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,1.400000,1750.00000,65.000000,1.000000,72.641197,57.1845177,-29.8318725,47.432881,74.7855262,29.8318725,0,74.7855262,-2.1443292,-2.9519464,-1.59489834,-1.59489834,72.641197,134.449271,134.449271,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_006,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,0.600000,750.000000,75.000000,1.000000,14.9015785,38.127336,-68.9862518,47.1162066,16.2572908,68.9862518,0,16.2572908,-1.3557123,-9.09777645,-0.879021012,-0.879021012,14.9015785,154.229794,154.229794,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_007,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,0.800000,1000.00000,75.000000,1.000000,24.7167696,42.3775055,-65.5814862,48.7966324,25.5926517,65.5814862,0,25.5926517,-0.8758821,-3.54367546,-0.558756411,-0.558756411,24.7167696,156.755624,156.755624,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_008,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,1.000000,1250.00000,75.000000,1.000000,37.617151,48.0095636,-60.1434432,50.8444522,38.7105726,60.1434432,0,38.7105726,-1.0934216,-2.90671029,-0.687697531,-0.687697531,37.617151,158.997459,158.997459,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_009,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,1.200000,1500.00000,75.000000,1.000000,53.8350258,55.1432777,-52.7465284,53.3348912,55.7316405,52.7465284,0,55.7316405,-1.8966147,-3.52301252,-1.17637976,-1.17637976,53.8350258,161.224697,161.224697,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_010,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,1.400000,1750.00000,75.000000,1.000000,73.6537518,63.8701823,-44.4990579,56.5391407,75.9102651,44.4990579,0,75.9102651,-2.2565133,-3.06367733,-1.36834361,-1.36834361,73.6537518,164.908381,164.908381,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
