case_id,run_id,Qjoule_conductor_W,Qcontact_W,Qdielectric_RIP_W,Qscreen_loss_W,Qtotal_W,conductor_volume_m3,contact_volume_m3,rip_volume_m3,conductor_cross_section_area_m2,effective_conductor_resistance_ohm,Qjoule_expected_I2R_W,Qcontact_expected_I2Rc_W,Qjoule_relative_error_pct,Qcontact_relative_error_pct,status,notes
RUN007_CASE_001,SOLID_ONLY_SWEEP_27_RUN007,21.1715812,1.00000000,2.54518841,0.00000000,24.7167696,0.00432258016,7.84141526e-05,0.0118960804,0.00196035382,2.11715812e-05,21.1715812,1.00000000,6.71223116e-14,-6.66133815e-14,SOLVED_VALID,"2*pi*r axisymmetric source normalization; contact expected=I^2*Rc0*Rc_factor"
RUN007_CASE_002,SOLID_ONLY_SWEEP_27_RUN007,33.5094626,1.56250000,2.54518841,0.00000000,37.6171510,0.00432258016,7.84141526e-05,0.0118960804,0.00196035382,2.14460560e-05,33.5094626,1.56250000,6.36127244e-14,-8.52651283e-14,SOLVED_VALID,"2*pi*r axisymmetric source normalization; contact expected=I^2*Rc0*Rc_factor"
RUN007_CASE_003,SOLID_ONLY_SWEEP_27_RUN007,49.0398374,2.25000000,2.54518841,0.00000000,53.8350258,0.00432258016,7.84141526e-05,0.0118960804,0.00196035382,2.17954833e-05,49.0398374,2.25000000,1.01423647e-13,-3.94745964e-14,SOLVED_VALID,"2*pi*r axisymmetric source normalization; contact expected=I^2*Rc0*Rc_factor"
RUN007_CASE_004,SOLID_ONLY_SWEEP_27_RUN007,21.4899364,1.00000000,2.54518841,0.00000000,25.0351249,0.00432258016,7.84141526e-05,0.0118960804,0.00196035382,2.14899364e-05,21.4899364,1.00000000,-2.47979817e-13,-6.66133815e-14,SOLVED_VALID,"2*pi*r axisymmetric source normalization; contact expected=I^2*Rc0*Rc_factor"
RUN007_CASE_005,SOLID_ONLY_SWEEP_27_RUN007,34.0078008,1.56250000,2.54518841,0.00000000,38.1154892,0.00432258016,7.84141526e-05,0.0118960804,0.00196035382,2.17649925e-05,34.0078008,1.56250000,3.34296352e-13,-8.52651283e-14,SOLVED_VALID,"2*pi*r axisymmetric source normalization; contact expected=I^2*Rc0*Rc_factor"
RUN007_CASE_006,SOLID_ONLY_SWEEP_27_RUN007,49.7685440,2.25000000,2.54518841,0.00000000,54.5637324,0.00432258016,7.84141526e-05,0.0118960804,0.00196035382,2.21193529e-05,49.7685440,2.25000000,2.85538888e-13,-3.94745964e-14,SOLVED_VALID,"2*pi*r axisymmetric source normalization; contact expected=I^2*Rc0*Rc_factor"
RUN007_CASE_007,SOLID_ONLY_SWEEP_27_RUN007,21.8068619,1.00000000,2.54518841,0.00000000,25.3520503,0.00432258016,7.84141526e-05,0.0118960804,0.00196035382,2.18068619e-05,21.8068619,1.00000000,-3.25834473e-14,-6.66133815e-14,SOLVED_VALID,"2*pi*r axisymmetric source normalization; contact expected=I^2*Rc0*Rc_factor"
RUN007_CASE_008,SOLID_ONLY_SWEEP_27_RUN007,34.5064602,1.56250000,2.54518841,0.00000000,38.6141486,0.00432258016,7.84141526e-05,0.0118960804,0.00196035382,2.20841345e-05,34.5064602,1.56250000,8.23663432e-14,-8.52651283e-14,SOLVED_VALID,"2*pi*r axisymmetric source normalization; contact expected=I^2*Rc0*Rc_factor"
RUN007_CASE_009,SOLID_ONLY_SWEEP_27_RUN007,50.4882554,2.25000000,2.54518841,0.00000000,55.2834438,0.00432258016,7.84141526e-05,0.0118960804,0.00196035382,2.24392246e-05,50.4882554,2.25000000,1.54807688e-13,-3.94745964e-14,SOLVED_VALID,"2*pi*r axisymmetric source normalization; contact expected=I^2*Rc0*Rc_factor"
RUN007_CASE_010,SOLID_ONLY_SWEEP_27_RUN007,21.2883922,5.00000000,2.54518841,0.00000000,28.8335806,0.00432258016,7.84141526e-05,0.0118960804,0.00196035382,2.12883922e-05,21.2883922,5.00000000,-5.67409054e-13,-7.10542736e-14,SOLVED_VALID,"2*pi*r axisymmetric source normalization; contact expected=I^2*Rc0*Rc_factor"
