case_id,run_id,status,load_multiplier_pu,current_A,oil_temperature_C,air_temperature_C,contact_resistance_multiplier_pu,Tmax_global_C,Tmax_conductor_C,Tmax_RIP_C,Tmax_contact_C,Tmax_silicone_C,Tmax_flange_C,thermal_warning,note
RUN007_CASE_001,SOLID_ONLY_SWEEP_27_RUN007,SOLVED_VALID,0.800000,1000.00000,75.000000,25.000000,1.000000,77.8152197,61.3198767,77.8152197,48.0301723,47.8211434,41.6750869,false,"solid-only thermal diagnostic; by-ID selections; approximate_Qdielectric_ref"
RUN007_CASE_002,SOLID_ONLY_SWEEP_27_RUN007,SOLVED_VALID,1.000000,1250.00000,75.000000,25.000000,1.000000,77.8737444,63.4242426,77.8737444,53.3007973,49.3550226,42.2545907,false,"solid-only thermal diagnostic; by-ID selections; approximate_Qdielectric_ref"
RUN007_CASE_003,SOLID_ONLY_SWEEP_27_RUN007,SOLVED_VALID,1.200000,1500.00000,75.000000,25.000000,1.000000,77.9647601,66.1173318,77.9647601,59.9862508,51.2784584,42.9617914,false,"solid-only thermal diagnostic; by-ID selections; approximate_Qdielectric_ref"
RUN007_CASE_004,SOLID_ONLY_SWEEP_27_RUN007,SOLVED_VALID,0.800000,1000.00000,85.000000,25.000000,1.000000,88.3818524,67.8535734,88.3818524,50.8480897,51.8009494,44.7757261,false,"solid-only thermal diagnostic; by-ID selections; approximate_Qdielectric_ref"
RUN007_CASE_005,SOLID_ONLY_SWEEP_27_RUN007,SOLVED_VALID,1.000000,1250.00000,85.000000,25.000000,1.000000,88.4189281,69.9996418,88.4189281,56.1501015,53.3964285,45.3919543,false,"solid-only thermal diagnostic; by-ID selections; approximate_Qdielectric_ref"
RUN007_CASE_006,SOLID_ONLY_SWEEP_27_RUN007,SOLVED_VALID,1.200000,1500.00000,85.000000,25.000000,1.000000,88.5146611,72.7201740,88.5146611,62.9183358,55.3255472,46.1018684,false,"solid-only thermal diagnostic; by-ID selections; approximate_Qdielectric_ref"
RUN007_CASE_007,SOLID_ONLY_SWEEP_27_RUN007,SOLVED_VALID,0.800000,1000.00000,95.000000,25.000000,1.000000,98.9281993,74.4121294,98.9281993,53.6502859,55.8186018,47.9011622,false,"solid-only thermal diagnostic; by-ID selections; approximate_Qdielectric_ref"
RUN007_CASE_008,SOLID_ONLY_SWEEP_27_RUN007,SOLVED_VALID,1.000000,1250.00000,95.000000,25.000000,1.000000,98.9629953,76.5871740,98.9629953,58.9983620,57.4419577,48.5316524,false,"solid-only thermal diagnostic; by-ID selections; approximate_Qdielectric_ref"
RUN007_CASE_009,SOLID_ONLY_SWEEP_27_RUN007,SOLVED_VALID,1.200000,1500.00000,95.000000,25.000000,1.000000,99.0352341,79.3338288,99.0352341,65.8028022,59.4342714,49.2855785,false,"solid-only thermal diagnostic; by-ID selections; approximate_Qdielectric_ref"
RUN007_CASE_010,SOLID_ONLY_SWEEP_27_RUN007,SOLVED_VALID,0.800000,1000.00000,75.000000,25.000000,5.000000,77.8279423,61.6597328,77.8279423,51.3026446,48.2227031,41.8163854,false,"solid-only thermal diagnostic; by-ID selections; approximate_Qdielectric_ref"
RUN007_CASE_011,SOLID_ONLY_SWEEP_27_RUN007,SOLVED_VALID,1.000000,1250.00000,75.000000,25.000000,5.000000,77.8924444,63.9806131,77.8924444,58.4752435,50.0029863,42.4823520,false,"solid-only thermal diagnostic; by-ID selections; approximate_Qdielectric_ref"
RUN007_CASE_012,SOLID_ONLY_SWEEP_27_RUN007,SOLVED_VALID,1.200000,1500.00000,75.000000,25.000000,5.000000,77.9935964,67.2289203,77.9935964,67.5644950,52.2420765,43.2952055,false,"solid-only thermal diagnostic; by-ID selections; approximate_Qdielectric_ref"
RUN007_CASE_013,SOLID_ONLY_SWEEP_27_RUN007,SOLVED_VALID,0.800000,1000.00000,85.000000,25.000000,5.000000,88.3952591,68.1920822,88.3952591,54.1230263,52.1985373,44.9154777,false,"solid-only thermal diagnostic; by-ID selections; approximate_Qdielectric_ref"
RUN007_CASE_014,SOLID_ONLY_SWEEP_27_RUN007,SOLVED_VALID,1.000000,1250.00000,85.000000,25.000000,5.000000,88.4378323,70.5534464,88.4378323,61.3266701,54.0409860,45.6190037,false,"solid-only thermal diagnostic; by-ID selections; approximate_Qdielectric_ref"
RUN007_CASE_015,SOLID_ONLY_SWEEP_27_RUN007,SOLVED_VALID,1.200000,1500.00000,85.000000,25.000000,5.000000,88.5432878,73.5522358,88.5432878,70.4986014,56.2847169,46.4348879,false,"solid-only thermal diagnostic; by-ID selections; approximate_Qdielectric_ref"
RUN007_CASE_016,SOLID_ONLY_SWEEP_27_RUN007,SOLVED_VALID,0.800000,1000.00000,95.000000,25.000000,5.000000,98.9415995,74.7495047,98.9415995,56.9237835,56.2167483,48.0410688,false,"solid-only thermal diagnostic; by-ID selections; approximate_Qdielectric_ref"
RUN007_CASE_017,SOLID_ONLY_SWEEP_27_RUN007,SOLVED_VALID,1.000000,1250.00000,95.000000,25.000000,5.000000,99.0115277,77.1108025,99.0115277,64.2110474,58.0300268,48.7187829,false,"solid-only thermal diagnostic; by-ID selections; approximate_Qdielectric_ref"
RUN007_CASE_018,SOLID_ONLY_SWEEP_27_RUN007,SOLVED_VALID,1.200000,1500.00000,95.000000,25.000000,5.000000,99.0936829,80.1533026,99.0936829,73.4270626,60.3338166,49.5759494,false,"solid-only thermal diagnostic; by-ID selections; approximate_Qdielectric_ref"
RUN007_CASE_019,SOLID_ONLY_SWEEP_27_RUN007,SOLVED_VALID,0.800000,1000.00000,75.000000,25.000000,20.000000,77.8961584,63.3208724,77.8961584,63.6151245,49.6966997,42.3170129,false,"solid-only thermal diagnostic; by-ID selections; approximate_Qdielectric_ref"
RUN007_CASE_020,SOLID_ONLY_SWEEP_27_RUN007,SOLVED_VALID,1.000000,1250.00000,75.000000,25.000000,20.000000,80.1503990,77.4543004,77.9857741,77.9512298,52.4102080,43.2980572,false,"solid-only thermal diagnostic; by-ID selections; approximate_Qdielectric_ref"
RUN007_CASE_021,SOLID_ONLY_SWEEP_27_RUN007,SOLVED_VALID,1.200000,1500.00000,75.000000,25.000000,20.000000,99.3370315,95.2190072,95.3357351,95.9734077,58.7214723,44.5474463,false,"solid-only thermal diagnostic; by-ID selections; approximate_Qdielectric_ref"
RUN007_CASE_022,SOLID_ONLY_SWEEP_27_RUN007,SOLVED_VALID,0.800000,1000.00000,85.000000,25.000000,20.000000,88.4434850,69.4735070,88.4434850,66.4085107,53.7077829,45.4426713,false,"solid-only thermal diagnostic; by-ID selections; approximate_Qdielectric_ref"
RUN007_CASE_023,SOLID_ONLY_SWEEP_27_RUN007,SOLVED_VALID,1.000000,1250.00000,85.000000,25.000000,20.000000,88.5352203,80.3168193,88.5352203,80.8057372,56.4236460,46.4290593,false,"solid-only thermal diagnostic; by-ID selections; approximate_Qdielectric_ref"
RUN007_CASE_024,SOLID_ONLY_SWEEP_27_RUN007,SOLVED_VALID,1.200000,1500.00000,85.000000,25.000000,20.000000,102.305961,98.1672725,98.2796535,98.9143288,60.1589475,47.6866375,false,"solid-only thermal diagnostic; by-ID selections; approximate_Qdielectric_ref"
RUN007_CASE_025,SOLID_ONLY_SWEEP_27_RUN007,SOLVED_VALID,0.800000,1000.00000,95.000000,25.000000,20.000000,98.9903419,76.0236597,98.9903419,69.2047423,57.7216547,48.5681993,false,"solid-only thermal diagnostic; by-ID selections; approximate_Qdielectric_ref"
RUN007_CASE_026,SOLID_ONLY_SWEEP_27_RUN007,SOLVED_VALID,1.000000,1250.00000,95.000000,25.000000,20.000000,99.0847588,83.1753301,99.0847588,83.6562602,60.4483355,49.5615644,false,"solid-only thermal diagnostic; by-ID selections; approximate_Qdielectric_ref"
RUN007_CASE_027,SOLID_ONLY_SWEEP_27_RUN007,SOLVED_VALID,1.200000,1500.00000,95.000000,25.000000,20.000000,105.270427,101.110455,101.218499,101.850202,63.9476783,50.8264324,false,"solid-only thermal diagnostic; by-ID selections; approximate_Qdielectric_ref"
