boundary_id,selection_name,strip_id,length_m,r_outer_mm,z_start_mm,z_end_mm,physical_part
AIR000,v2_bnd_air_convection_seg_000,air_000,0.0159720000,119.812000,0.000000,15.972000,CAD air-side silicone shed external surface
AIR001,v2_bnd_air_convection_seg_001,air_001,0.0159720000,121.500000,15.972000,31.944000,CAD air-side silicone shed external surface
AIR002,v2_bnd_air_convection_seg_002,air_002,0.0159730000,121.500000,31.944000,47.917000,CAD air-side silicone shed external surface
AIR003,v2_bnd_air_convection_seg_003,air_003,0.0159720000,121.500000,47.917000,63.889000,CAD air-side silicone shed external surface
AIR004,v2_bnd_air_convection_seg_004,air_004,0.0159720000,121.500000,63.889000,79.861000,CAD air-side silicone shed external surface
AIR005,v2_bnd_air_convection_seg_005,air_005,0.0159720000,121.500000,79.861000,95.833000,CAD air-side silicone shed external surface
AIR006,v2_bnd_air_convection_seg_006,air_006,0.0159730000,110.531000,95.833000,111.806000,CAD air-side silicone shed external surface
AIR007,v2_bnd_air_convection_seg_007,air_007,0.0159720000,121.500000,111.806000,127.778000,CAD air-side silicone shed external surface
AIR008,v2_bnd_air_convection_seg_008,air_008,0.0159720000,121.500000,127.778000,143.750000,CAD air-side silicone shed external surface
AIR009,v2_bnd_air_convection_seg_009,air_009,0.0159720000,121.500000,143.750000,159.722000,CAD air-side silicone shed external surface
AIR010,v2_bnd_air_convection_seg_010,air_010,0.0159720000,121.500000,159.722000,175.694000,CAD air-side silicone shed external surface
AIR011,v2_bnd_air_convection_seg_011,air_011,0.0159730000,121.500000,175.694000,191.667000,CAD air-side silicone shed external surface
AIR012,v2_bnd_air_convection_seg_012,air_012,0.0159720000,121.500000,191.667000,207.639000,CAD air-side silicone shed external surface
AIR013,v2_bnd_air_convection_seg_013,air_013,0.0159720000,109.534000,207.639000,223.611000,CAD air-side silicone shed external surface
AIR014,v2_bnd_air_convection_seg_014,air_014,0.0159720000,92.045000,223.611000,239.583000,CAD air-side silicone shed external surface
AIR015,v2_bnd_air_convection_seg_015,air_015,0.0159730000,135.000000,239.583000,255.556000,CAD air-side silicone shed external surface
AIR016,v2_bnd_air_convection_seg_016,air_016,0.0159720000,126.692000,255.556000,271.528000,CAD air-side silicone shed external surface
AIR017,v2_bnd_air_convection_seg_017,air_017,0.0159720000,94.500000,271.528000,287.500000,CAD air-side silicone shed external surface
AIR018,v2_bnd_air_convection_seg_018,air_018,0.0159720000,114.750000,287.500000,303.472000,CAD air-side silicone shed external surface
AIR019,v2_bnd_air_convection_seg_019,air_019,0.0159720000,101.039000,303.472000,319.444000,CAD air-side silicone shed external surface
AIR020,v2_bnd_air_convection_seg_020,air_020,0.0159730000,135.000000,319.444000,335.417000,CAD air-side silicone shed external surface
AIR021,v2_bnd_air_convection_seg_021,air_021,0.0159720000,128.769000,335.417000,351.389000,CAD air-side silicone shed external surface
AIR022,v2_bnd_air_convection_seg_022,air_022,0.0159720000,96.577000,351.389000,367.361000,CAD air-side silicone shed external surface
AIR023,v2_bnd_air_convection_seg_023,air_023,0.0159720000,114.750000,367.361000,383.333000,CAD air-side silicone shed external surface
AIR024,v2_bnd_air_convection_seg_024,air_024,0.0159730000,103.148000,383.333000,399.306000,CAD air-side silicone shed external surface
AIR025,v2_bnd_air_convection_seg_025,air_025,0.0159720000,135.000000,399.306000,415.278000,CAD air-side silicone shed external surface
AIR026,v2_bnd_air_convection_seg_026,air_026,0.0159720000,130.846000,415.278000,431.250000,CAD air-side silicone shed external surface
AIR027,v2_bnd_air_convection_seg_027,air_027,0.0159720000,98.654000,431.250000,447.222000,CAD air-side silicone shed external surface
AIR028,v2_bnd_air_convection_seg_028,air_028,0.0159720000,114.750000,447.222000,463.194000,CAD air-side silicone shed external surface
AIR029,v2_bnd_air_convection_seg_029,air_029,0.0159730000,105.258000,463.194000,479.167000,CAD air-side silicone shed external surface
AIR030,v2_bnd_air_convection_seg_030,air_030,0.0159720000,135.000000,479.167000,495.139000,CAD air-side silicone shed external surface
AIR031,v2_bnd_air_convection_seg_031,air_031,0.0159720000,132.923000,495.139000,511.111000,CAD air-side silicone shed external surface
AIR032,v2_bnd_air_convection_seg_032,air_032,0.0159720000,100.731000,511.111000,527.083000,CAD air-side silicone shed external surface
AIR033,v2_bnd_air_convection_seg_033,air_033,0.0159730000,114.750000,527.083000,543.056000,CAD air-side silicone shed external surface
AIR034,v2_bnd_air_convection_seg_034,air_034,0.0159720000,106.312000,543.056000,559.028000,CAD air-side silicone shed external surface
AIR035,v2_bnd_air_convection_seg_035,air_035,0.0159720000,135.000000,559.028000,575.000000,CAD air-side silicone shed external surface
AIR036,v2_bnd_air_convection_seg_036,air_036,0.0159720000,133.962000,575.000000,590.972000,CAD air-side silicone shed external surface
AIR037,v2_bnd_air_convection_seg_037,air_037,0.0159720000,102.808000,590.972000,606.944000,CAD air-side silicone shed external surface
AIR038,v2_bnd_air_convection_seg_038,air_038,0.0159730000,114.750000,606.944000,622.917000,CAD air-side silicone shed external surface
AIR039,v2_bnd_air_convection_seg_039,air_039,0.0159720000,108.422000,622.917000,638.889000,CAD air-side silicone shed external surface
AIR040,v2_bnd_air_convection_seg_040,air_fill_000,0.0159720000,82.000000,638.889000,654.861000,CAD air-side silicone shed external surface
AIR041,v2_bnd_air_convection_seg_041,air_041,0.0159720000,135.000000,654.861000,670.833000,CAD air-side silicone shed external surface
AIR042,v2_bnd_air_convection_seg_042,air_042,0.0159730000,104.885000,670.833000,686.806000,CAD air-side silicone shed external surface
AIR043,v2_bnd_air_convection_seg_043,air_043,0.0159720000,114.750000,686.806000,702.778000,CAD air-side silicone shed external surface
AIR044,v2_bnd_air_convection_seg_044,air_044,0.0159720000,110.531000,702.778000,718.750000,CAD air-side silicone shed external surface
AIR045,v2_bnd_air_convection_seg_045,air_fill_001,0.0159720000,82.000000,718.750000,734.722000,CAD air-side silicone shed external surface
AIR046,v2_bnd_air_convection_seg_046,air_046,0.0159720000,135.000000,734.722000,750.694000,CAD air-side silicone shed external surface
AIR047,v2_bnd_air_convection_seg_047,air_047,0.0159730000,106.962000,750.694000,766.667000,CAD air-side silicone shed external surface
AIR048,v2_bnd_air_convection_seg_048,air_048,0.0159720000,114.750000,766.667000,782.639000,CAD air-side silicone shed external surface
AIR049,v2_bnd_air_convection_seg_049,air_049,0.0159720000,112.641000,782.639000,798.611000,CAD air-side silicone shed external surface
AIR050,v2_bnd_air_convection_seg_050,air_fill_002,0.0159720000,82.000000,798.611000,814.583000,CAD air-side silicone shed external surface
AIR051,v2_bnd_air_convection_seg_051,air_051,0.0159730000,135.000000,814.583000,830.556000,CAD air-side silicone shed external surface
AIR052,v2_bnd_air_convection_seg_052,air_052,0.0159720000,108.000000,830.556000,846.528000,CAD air-side silicone shed external surface
AIR053,v2_bnd_air_convection_seg_053,air_fill_003,0.0159720000,82.000000,846.528000,862.500000,CAD air-side silicone shed external surface
AIR054,v2_bnd_air_convection_seg_054,air_054,0.0159720000,114.750000,862.500000,878.472000,CAD air-side silicone shed external surface
AIR055,v2_bnd_air_convection_seg_055,air_055,0.0159720000,84.164000,878.472000,894.444000,CAD air-side silicone shed external surface
AIR056,v2_bnd_air_convection_seg_056,air_056,0.0159730000,135.000000,894.444000,910.417000,CAD air-side silicone shed external surface
AIR057,v2_bnd_air_convection_seg_057,air_057,0.0159720000,110.077000,910.417000,926.389000,CAD air-side silicone shed external surface
AIR058,v2_bnd_air_convection_seg_058,air_fill_004,0.0159720000,82.000000,926.389000,942.361000,CAD air-side silicone shed external surface
AIR059,v2_bnd_air_convection_seg_059,air_059,0.0159720000,114.750000,942.361000,958.333000,CAD air-side silicone shed external surface
AIR060,v2_bnd_air_convection_seg_060,air_060,0.0159730000,86.273000,958.333000,974.306000,CAD air-side silicone shed external surface
AIR061,v2_bnd_air_convection_seg_061,air_061,0.0159720000,135.000000,974.306000,990.278000,CAD air-side silicone shed external surface
AIR062,v2_bnd_air_convection_seg_062,air_062,0.0159720000,112.154000,990.278000,1006.250000,CAD air-side silicone shed external surface
AIR063,v2_bnd_air_convection_seg_063,air_fill_005,0.0159720000,82.000000,1006.250000,1022.222000,CAD air-side silicone shed external surface
AIR064,v2_bnd_air_convection_seg_064,air_064,0.0159720000,114.750000,1022.222000,1038.194000,CAD air-side silicone shed external surface
AIR065,v2_bnd_air_convection_seg_065,air_065,0.0159730000,88.383000,1038.194000,1054.167000,CAD air-side silicone shed external surface
AIR066,v2_bnd_air_convection_seg_066,air_066,0.0159720000,92.045000,1054.167000,1070.139000,CAD air-side silicone shed external surface
