numeric_claim,appears_in_full_manuscript,expected_value,actual_text_value,evidence_source_file,evidence_status,action
88.589 degC,true,88.589 degC,88.589 degC,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009A_BASELINE/baseline_metrics.csv,OK,none
28.049 W,true,28.049 W,28.049 W,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009A_BASELINE/baseline_metrics.csv,OK,none
11.020,true,11.020,11.020,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009A_BASELINE/baseline_metrics.csv,OK,none
67.397-134.974 degC,true,67.397-134.974 degC,67.397-134.974 degC,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run010_risk_metrics.csv,OK,none
129.925 degC,true,129.925 degC,129.925 degC,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run010_risk_metrics.csv,OK,none
"safe 119, attention 4, warning 2, thermal-risk 0",true,"safe 119, attention 4, warning 2, thermal-risk 0","safe 119, attention 4, warning 2, thermal-risk 0",results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run010_risk_metrics.csv,OK,none
"contact_safe 115, contact_attention 6, contact_warning 4, contact-risk 0",true,"contact_safe 115, contact_attention 6, contact_warning 4, contact-risk 0","contact_safe 115, contact_attention 6, contact_warning 4, contact-risk 0",results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run010_risk_metrics.csv,OK,none
2.678%,true,2.678%,2.678%,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/heat_balance_by_case.csv,OK,none
0/125 field_singularity_flag,true,0/125,0/125,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/electric_field_diagnostics_by_case.csv,OK,none
125/125 dielectric_loss_review_required,true,125/125,125/125,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/dielectric_loss_by_case.csv,OK,none
0.617 degC mean delta_Tmax,true,0.617 degC,0.617 degC,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run008_vs_run010_comparison.csv,OK,none
2.816 degC max delta_Tmax,true,2.816 degC,2.816 degC,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run008_vs_run010_comparison.csv,OK,none
2/125 changed risk zones,true,2/125,2/125,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run008_vs_run010_comparison.csv,OK,none
0.355% max Tmax mesh error,true,0.355%,0.355%,results/raw_comsol_exports/MATERIAL_AND_MESH_SENSITIVITY_RUN011/RUN011A_MESH_INDEPENDENCE/mesh_convergence_summary.csv,OK,none
0.002% max E95 mesh error,true,0.002%,0.002%,results/raw_comsol_exports/MATERIAL_AND_MESH_SENSITIVITY_RUN011/RUN011A_MESH_INDEPENDENCE/mesh_convergence_summary.csv,OK,none
0.002% max Qdielectric mesh error,true,0.002%,0.002%,results/raw_comsol_exports/MATERIAL_AND_MESH_SENSITIVITY_RUN011/RUN011A_MESH_INDEPENDENCE/mesh_convergence_summary.csv,OK,none
tan_delta_multiplier > epsr_RIP > Rc0_multiplier > h_air > k_RIP_multiplier > h_oil,true,tan_delta_multiplier > epsr_RIP > Rc0_multiplier > h_air > k_RIP_multiplier > h_oil,tan_delta_multiplier > epsr_RIP > Rc0_multiplier > h_air > k_RIP_multiplier > h_oil,results/raw_comsol_exports/MATERIAL_AND_MESH_SENSITIVITY_RUN011/RUN011B_MATERIAL_BOUNDARY_SENSITIVITY/sensitivity_index_summary.csv,OK,none
