metric,value_or_range,source_run,source_file,manuscript_usage,main_or_supplementary,notes
RUN009A Tmax_global_C,88.589 degC,RUN009A_FULL_FIELD_BASELINE,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009A_BASELINE/baseline_metrics.csv,baseline field/temperature discussion,main text,"Finite element numerical baseline, not physical experiment"
RUN009A Qdielectric_RIP_field_W,28.049 W,RUN009A_FULL_FIELD_BASELINE,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009A_BASELINE/baseline_metrics.csv,dielectric-loss discussion,main text/supporting,Field-coupled dielectric loss
RUN009A Qdielectric_field/ref,11.020,RUN009A_FULL_FIELD_BASELINE,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009A_BASELINE/dielectric_loss_comparison.csv,dielectric-loss review,supplementary/validation,Review flag retained
RUN010 Tmax_global_C range,67.397-134.974 degC,RUN010_FULL_FIELD_125_RISK,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run010_risk_metrics.csv,risk-boundary result,main text,Primary 125-case full field-coupled result
RUN010 Tmax_contact_C max,129.925 degC,RUN010_FULL_FIELD_125_RISK,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run010_risk_metrics.csv,contact-risk discussion,main text,Diagnostic contact zoning only
RUN010 risk_zone counts,safe:119; attention:4; warning:2,RUN010_FULL_FIELD_125_RISK,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run010_risk_metrics.csv,risk-boundary result,main text,"Diagnostic risk zoning, not IEC/IEEE standard limit"
RUN010 contact_risk_zone counts,contact_safe:115; contact_attention:6; contact_warning:4,RUN010_FULL_FIELD_125_RISK,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run010_risk_metrics.csv,contact-risk result,main text/supporting,"Diagnostic contact zones, not material limits"
RUN010 heat_balance max residual,2.678% max |residual_percent_Qgenerated|,RUN010_FULL_FIELD_125_RISK,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/heat_balance_by_case.csv,model validation,supplementary/validation,Heat balance valid
RUN010 field_singularity_flag count,0/125,RUN010_FULL_FIELD_125_RISK,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/electric_field_diagnostics_by_case.csv,field validation,supplementary/validation,No flagged singularity cases
RUN010 dielectric_loss_review_required count,125/125,RUN010_FULL_FIELD_125_RISK,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/dielectric_loss_by_case.csv,dielectric-loss review,supplementary/validation,field/ref mean=11.020; not model failure
RUN010 RUN008-vs-RUN010 mean delta_Tmax,mean=0.617 degC; max=2.816 degC; changed=2/125,RUN010_vs_RUN008,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run008_vs_run010_comparison.csv,field-coupled impact discussion,main text/supporting,RUN010 uses field-coupled dielectric loss
RUN011A medium-vs-fine max Tmax error,0.355%,RUN011A_MESH_INDEPENDENCE,results/raw_comsol_exports/MATERIAL_AND_MESH_SENSITIVITY_RUN011/RUN011A_MESH_INDEPENDENCE/mesh_convergence_summary.csv,mesh verification,main text/validation,Acceptance threshold < 1%
RUN011A medium-vs-fine max E95 error,0.002%,RUN011A_MESH_INDEPENDENCE,results/raw_comsol_exports/MATERIAL_AND_MESH_SENSITIVITY_RUN011/RUN011A_MESH_INDEPENDENCE/mesh_convergence_summary.csv,mesh verification,supplementary/validation,Acceptance threshold < 3%
RUN011A medium-vs-fine max Qdielectric error,0.002%,RUN011A_MESH_INDEPENDENCE,results/raw_comsol_exports/MATERIAL_AND_MESH_SENSITIVITY_RUN011/RUN011A_MESH_INDEPENDENCE/mesh_convergence_summary.csv,mesh verification,main text/validation,Acceptance threshold < 5%
RUN011B sensitivity ranking,tan_delta_multiplier > epsr_RIP > Rc0_multiplier > h_air > k_RIP_multiplier > h_oil,RUN011B_MATERIAL_BOUNDARY_SENSITIVITY,results/raw_comsol_exports/MATERIAL_AND_MESH_SENSITIVITY_RUN011/RUN011B_MATERIAL_BOUNDARY_SENSITIVITY/sensitivity_index_summary.csv,sensitivity discussion,main text/supporting,OFAT numerical sensitivity ranking
