boundary_id,selection_name,strip_id,length_m,r_outer_mm,z_start_mm,z_end_mm,physical_part
OIL000,v2_bnd_oil_convection_seg_000,oil_000,0.0165280000,39.600000,-595.000000,-578.472000,CAD oil-side immersed core/shield external surface
OIL001,v2_bnd_oil_convection_seg_001,oil_001,0.0165280000,39.600000,-578.472000,-561.944000,CAD oil-side immersed core/shield external surface
OIL002,v2_bnd_oil_convection_seg_002,oil_002,0.0165270000,39.600000,-561.944000,-545.417000,CAD oil-side immersed core/shield external surface
OIL003,v2_bnd_oil_convection_seg_003,oil_003,0.0165280000,39.600000,-545.417000,-528.889000,CAD oil-side immersed core/shield external surface
OIL004,v2_bnd_oil_convection_seg_004,oil_004,0.0165280000,39.600000,-528.889000,-512.361000,CAD oil-side immersed core/shield external surface
OIL005,v2_bnd_oil_convection_seg_005,oil_005,0.0165280000,39.600000,-512.361000,-495.833000,CAD oil-side immersed core/shield external surface
OIL006,v2_bnd_oil_convection_seg_006,oil_006,0.0165270000,41.506000,-495.833000,-479.306000,CAD oil-side immersed core/shield external surface
OIL007,v2_bnd_oil_convection_seg_007,oil_007,0.0165280000,44.188000,-479.306000,-462.778000,CAD oil-side immersed core/shield external surface
OIL008,v2_bnd_oil_convection_seg_008,oil_008,0.0165280000,46.800000,-462.778000,-446.250000,CAD oil-side immersed core/shield external surface
OIL009,v2_bnd_oil_convection_seg_009,oil_009,0.0165280000,49.482000,-446.250000,-429.722000,CAD oil-side immersed core/shield external surface
OIL010,v2_bnd_oil_convection_seg_010,oil_010,0.0165280000,52.165000,-429.722000,-413.194000,CAD oil-side immersed core/shield external surface
OIL011,v2_bnd_oil_convection_seg_011,oil_011,0.0165270000,54.847000,-413.194000,-396.667000,CAD oil-side immersed core/shield external surface
OIL012,v2_bnd_oil_convection_seg_012,oil_012,0.0165280000,57.459000,-396.667000,-380.139000,CAD oil-side immersed core/shield external surface
OIL013,v2_bnd_oil_convection_seg_013,oil_013,0.0165280000,60.141000,-380.139000,-363.611000,CAD oil-side immersed core/shield external surface
OIL014,v2_bnd_oil_convection_seg_014,oil_014,0.0165280000,62.824000,-363.611000,-347.083000,CAD oil-side immersed core/shield external surface
OIL015,v2_bnd_oil_convection_seg_015,oil_015,0.0165270000,65.506000,-347.083000,-330.556000,CAD oil-side immersed core/shield external surface
OIL016,v2_bnd_oil_convection_seg_016,oil_016,0.0165280000,66.000000,-330.556000,-314.028000,CAD oil-side immersed core/shield external surface
OIL017,v2_bnd_oil_convection_seg_017,oil_017,0.0165280000,66.000000,-314.028000,-297.500000,CAD oil-side immersed core/shield external surface
OIL018,v2_bnd_oil_convection_seg_018,oil_018,0.0165280000,66.000000,-297.500000,-280.972000,CAD oil-side immersed core/shield external surface
OIL019,v2_bnd_oil_convection_seg_019,oil_019,0.0165280000,66.000000,-280.972000,-264.444000,CAD oil-side immersed core/shield external surface
OIL020,v2_bnd_oil_convection_seg_020,oil_020,0.0165270000,66.000000,-264.444000,-247.917000,CAD oil-side immersed core/shield external surface
OIL021,v2_bnd_oil_convection_seg_021,oil_021,0.0165280000,66.000000,-247.917000,-231.389000,CAD oil-side immersed core/shield external surface
OIL022,v2_bnd_oil_convection_seg_022,oil_022,0.0165280000,66.000000,-231.389000,-214.861000,CAD oil-side immersed core/shield external surface
OIL023,v2_bnd_oil_convection_seg_023,oil_023,0.0165280000,66.000000,-214.861000,-198.333000,CAD oil-side immersed core/shield external surface
OIL024,v2_bnd_oil_convection_seg_024,oil_024,0.0165270000,66.000000,-198.333000,-181.806000,CAD oil-side immersed core/shield external surface
OIL025,v2_bnd_oil_convection_seg_025,oil_025,0.0165280000,66.000000,-181.806000,-165.278000,CAD oil-side immersed core/shield external surface
OIL026,v2_bnd_oil_convection_seg_026,oil_026,0.0165280000,66.000000,-165.278000,-148.750000,CAD oil-side immersed core/shield external surface
OIL027,v2_bnd_oil_convection_seg_027,oil_027,0.0165280000,66.000000,-148.750000,-132.222000,CAD oil-side immersed core/shield external surface
OIL028,v2_bnd_oil_convection_seg_028,oil_028,0.0165280000,66.000000,-132.222000,-115.694000,CAD oil-side immersed core/shield external surface
OIL029,v2_bnd_oil_convection_seg_029,oil_029,0.0165270000,66.000000,-115.694000,-99.167000,CAD oil-side immersed core/shield external surface
OIL030,v2_bnd_oil_convection_seg_030,oil_030,0.0165280000,66.000000,-99.167000,-82.639000,CAD oil-side immersed core/shield external surface
OIL031,v2_bnd_oil_convection_seg_031,oil_031,0.0165280000,66.000000,-82.639000,-66.111000,CAD oil-side immersed core/shield external surface
OIL032,v2_bnd_oil_convection_seg_032,oil_032,0.0165280000,66.000000,-66.111000,-49.583000,CAD oil-side immersed core/shield external surface
OIL033,v2_bnd_oil_convection_seg_033,oil_033,0.0165270000,66.000000,-49.583000,-33.056000,CAD oil-side immersed core/shield external surface
OIL034,v2_bnd_oil_convection_seg_034,oil_034,0.0165280000,66.000000,-33.056000,-16.528000,CAD oil-side immersed core/shield external surface
OIL035,v2_bnd_oil_convection_seg_035,oil_035,0.0165280000,66.000000,-16.528000,0.000000,CAD oil-side immersed core/shield external surface
