boundary_id,selection_name,physical_region,length_m,z_min_mm,z_max_mm,r_min_mm,r_max_mm
AIR000,v3_bnd_air_convection_seg_000,solid-only air-side external insulation and shed surface,0.0159720000,0.000000,15.972000,119.762000,119.862000
AIR001,v3_bnd_air_convection_seg_001,solid-only air-side external insulation and shed surface,0.0159720000,15.972000,31.944000,121.450000,121.550000
AIR002,v3_bnd_air_convection_seg_002,solid-only air-side external insulation and shed surface,0.0159730000,31.944000,47.917000,121.450000,121.550000
AIR003,v3_bnd_air_convection_seg_003,solid-only air-side external insulation and shed surface,0.0159720000,47.917000,63.889000,121.450000,121.550000
AIR004,v3_bnd_air_convection_seg_004,solid-only air-side external insulation and shed surface,0.0159720000,63.889000,79.861000,121.450000,121.550000
AIR005,v3_bnd_air_convection_seg_005,solid-only air-side external insulation and shed surface,0.0159720000,79.861000,95.833000,121.450000,121.550000
AIR006,v3_bnd_air_convection_seg_006,solid-only air-side external insulation and shed surface,0.0159730000,95.833000,111.806000,110.481000,110.581000
AIR007,v3_bnd_air_convection_seg_007,solid-only air-side external insulation and shed surface,0.0159720000,111.806000,127.778000,121.450000,121.550000
AIR008,v3_bnd_air_convection_seg_008,solid-only air-side external insulation and shed surface,0.0159720000,127.778000,143.750000,121.450000,121.550000
AIR009,v3_bnd_air_convection_seg_009,solid-only air-side external insulation and shed surface,0.0159720000,143.750000,159.722000,121.450000,121.550000
AIR010,v3_bnd_air_convection_seg_010,solid-only air-side external insulation and shed surface,0.0159720000,159.722000,175.694000,121.450000,121.550000
AIR011,v3_bnd_air_convection_seg_011,solid-only air-side external insulation and shed surface,0.0159730000,175.694000,191.667000,121.450000,121.550000
AIR012,v3_bnd_air_convection_seg_012,solid-only air-side external insulation and shed surface,0.0159720000,191.667000,207.639000,121.450000,121.550000
AIR013,v3_bnd_air_convection_seg_013,solid-only air-side external insulation and shed surface,0.0159720000,207.639000,223.611000,109.484000,109.584000
AIR014,v3_bnd_air_convection_seg_014,solid-only air-side external insulation and shed surface,0.0159720000,223.611000,239.583000,91.995000,92.095000
AIR015,v3_bnd_air_convection_seg_015,solid-only air-side external insulation and shed surface,0.0159730000,239.583000,255.556000,134.950000,135.050000
AIR016,v3_bnd_air_convection_seg_016,solid-only air-side external insulation and shed surface,0.0159720000,255.556000,271.528000,126.642000,126.742000
AIR017,v3_bnd_air_convection_seg_017,solid-only air-side external insulation and shed surface,0.0159720000,271.528000,287.500000,94.450000,94.550000
AIR018,v3_bnd_air_convection_seg_018,solid-only air-side external insulation and shed surface,0.0159720000,287.500000,303.472000,114.700000,114.800000
AIR019,v3_bnd_air_convection_seg_019,solid-only air-side external insulation and shed surface,0.0159720000,303.472000,319.444000,100.989000,101.089000
AIR020,v3_bnd_air_convection_seg_020,solid-only air-side external insulation and shed surface,0.0159730000,319.444000,335.417000,134.950000,135.050000
AIR021,v3_bnd_air_convection_seg_021,solid-only air-side external insulation and shed surface,0.0159720000,335.417000,351.389000,128.719000,128.819000
AIR022,v3_bnd_air_convection_seg_022,solid-only air-side external insulation and shed surface,0.0159720000,351.389000,367.361000,96.527000,96.627000
AIR023,v3_bnd_air_convection_seg_023,solid-only air-side external insulation and shed surface,0.0159720000,367.361000,383.333000,114.700000,114.800000
AIR024,v3_bnd_air_convection_seg_024,solid-only air-side external insulation and shed surface,0.0159730000,383.333000,399.306000,103.098000,103.198000
AIR025,v3_bnd_air_convection_seg_025,solid-only air-side external insulation and shed surface,0.0159720000,399.306000,415.278000,134.950000,135.050000
AIR026,v3_bnd_air_convection_seg_026,solid-only air-side external insulation and shed surface,0.0159720000,415.278000,431.250000,130.796000,130.896000
AIR027,v3_bnd_air_convection_seg_027,solid-only air-side external insulation and shed surface,0.0159720000,431.250000,447.222000,98.604000,98.704000
AIR028,v3_bnd_air_convection_seg_028,solid-only air-side external insulation and shed surface,0.0159720000,447.222000,463.194000,114.700000,114.800000
AIR029,v3_bnd_air_convection_seg_029,solid-only air-side external insulation and shed surface,0.0159730000,463.194000,479.167000,105.208000,105.308000
AIR030,v3_bnd_air_convection_seg_030,solid-only air-side external insulation and shed surface,0.0159720000,479.167000,495.139000,134.950000,135.050000
AIR031,v3_bnd_air_convection_seg_031,solid-only air-side external insulation and shed surface,0.0159720000,495.139000,511.111000,132.873000,132.973000
AIR032,v3_bnd_air_convection_seg_032,solid-only air-side external insulation and shed surface,0.0159720000,511.111000,527.083000,100.681000,100.781000
AIR033,v3_bnd_air_convection_seg_033,solid-only air-side external insulation and shed surface,0.0159730000,527.083000,543.056000,114.700000,114.800000
AIR034,v3_bnd_air_convection_seg_034,solid-only air-side external insulation and shed surface,0.0159720000,543.056000,559.028000,106.262000,106.362000
AIR035,v3_bnd_air_convection_seg_035,solid-only air-side external insulation and shed surface,0.0159720000,559.028000,575.000000,134.950000,135.050000
AIR036,v3_bnd_air_convection_seg_036,solid-only air-side external insulation and shed surface,0.0159720000,575.000000,590.972000,133.912000,134.012000
AIR037,v3_bnd_air_convection_seg_037,solid-only air-side external insulation and shed surface,0.0159720000,590.972000,606.944000,102.758000,102.858000
AIR038,v3_bnd_air_convection_seg_038,solid-only air-side external insulation and shed surface,0.0159730000,606.944000,622.917000,114.700000,114.800000
AIR039,v3_bnd_air_convection_seg_039,solid-only air-side external insulation and shed surface,0.0159720000,622.917000,638.889000,108.372000,108.472000
AIR040,v3_bnd_air_convection_seg_040,solid-only air-side external insulation and shed surface,0.0159720000,638.889000,654.861000,81.950000,82.050000
AIR041,v3_bnd_air_convection_seg_041,solid-only air-side external insulation and shed surface,0.0159720000,654.861000,670.833000,134.950000,135.050000
AIR042,v3_bnd_air_convection_seg_042,solid-only air-side external insulation and shed surface,0.0159730000,670.833000,686.806000,104.835000,104.935000
AIR043,v3_bnd_air_convection_seg_043,solid-only air-side external insulation and shed surface,0.0159720000,686.806000,702.778000,114.700000,114.800000
AIR044,v3_bnd_air_convection_seg_044,solid-only air-side external insulation and shed surface,0.0159720000,702.778000,718.750000,110.481000,110.581000
AIR045,v3_bnd_air_convection_seg_045,solid-only air-side external insulation and shed surface,0.0159720000,718.750000,734.722000,81.950000,82.050000
AIR046,v3_bnd_air_convection_seg_046,solid-only air-side external insulation and shed surface,0.0159720000,734.722000,750.694000,134.950000,135.050000
AIR047,v3_bnd_air_convection_seg_047,solid-only air-side external insulation and shed surface,0.0159730000,750.694000,766.667000,106.912000,107.012000
AIR048,v3_bnd_air_convection_seg_048,solid-only air-side external insulation and shed surface,0.0159720000,766.667000,782.639000,114.700000,114.800000
AIR049,v3_bnd_air_convection_seg_049,solid-only air-side external insulation and shed surface,0.0159720000,782.639000,798.611000,112.591000,112.691000
AIR050,v3_bnd_air_convection_seg_050,solid-only air-side external insulation and shed surface,0.0159720000,798.611000,814.583000,81.950000,82.050000
AIR051,v3_bnd_air_convection_seg_051,solid-only air-side external insulation and shed surface,0.0159730000,814.583000,830.556000,134.950000,135.050000
AIR052,v3_bnd_air_convection_seg_052,solid-only air-side external insulation and shed surface,0.0159720000,830.556000,846.528000,107.950000,108.050000
AIR053,v3_bnd_air_convection_seg_053,solid-only air-side external insulation and shed surface,0.0159720000,846.528000,862.500000,81.950000,82.050000
