selection_name,domain_ids,boundary_ids
geom_v3_g_cad_air_side_profile_000_bnd,"","73 74 76 234 269"
geom_v3_g_cad_air_side_profile_000_dom,"22",""
geom_v3_g_cad_air_side_profile_000_pnt,"",""
geom_v3_g_cad_air_side_profile_001_bnd,"","75 76 78 270 289"
geom_v3_g_cad_air_side_profile_001_dom,"23",""
geom_v3_g_cad_air_side_profile_001_pnt,"",""
geom_v3_g_cad_air_side_profile_002_bnd,"","77 78 80 290"
geom_v3_g_cad_air_side_profile_002_dom,"24",""
geom_v3_g_cad_air_side_profile_002_pnt,"",""
geom_v3_g_cad_air_side_profile_003_bnd,"","79 80 82 291"
geom_v3_g_cad_air_side_profile_003_dom,"25",""
geom_v3_g_cad_air_side_profile_003_pnt,"",""
geom_v3_g_cad_air_side_profile_004_bnd,"","81 82 84 292"
geom_v3_g_cad_air_side_profile_004_dom,"26",""
geom_v3_g_cad_air_side_profile_004_pnt,"",""
geom_v3_g_cad_air_side_profile_005_bnd,"","83 84 86 293"
geom_v3_g_cad_air_side_profile_005_dom,"27",""
geom_v3_g_cad_air_side_profile_005_pnt,"",""
geom_v3_g_cad_air_side_profile_006_bnd,"","85 86 88 264 294"
geom_v3_g_cad_air_side_profile_006_dom,"28",""
geom_v3_g_cad_air_side_profile_006_pnt,"",""
geom_v3_g_cad_air_side_profile_007_bnd,"","87 88 90 216 263"
geom_v3_g_cad_air_side_profile_007_dom,"29",""
geom_v3_g_cad_air_side_profile_007_pnt,"",""
geom_v3_g_cad_air_side_profile_008_bnd,"","89 90 92 215"
geom_v3_g_cad_air_side_profile_008_dom,"30",""
geom_v3_g_cad_air_side_profile_008_pnt,"",""
geom_v3_g_cad_air_side_profile_009_bnd,"","91 92 94 217 299 308"
geom_v3_g_cad_air_side_profile_009_dom,"31",""
geom_v3_g_cad_air_side_profile_009_pnt,"",""
geom_v3_g_cad_air_side_profile_010_bnd,"","93 94 96 221 298"
geom_v3_g_cad_air_side_profile_010_dom,"32",""
geom_v3_g_cad_air_side_profile_010_pnt,"",""
geom_v3_g_cad_air_side_profile_011_bnd,"","95 96 98 220"
geom_v3_g_cad_air_side_profile_011_dom,"33",""
geom_v3_g_cad_air_side_profile_011_pnt,"",""
